day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.0,review
1,0.033333,2,0.066667,0.031695,review
2,0.066667,4,0.133333,0.06339,review
3,0.1,6,0.2,0.095086,review
4,0.133333,8,0.266667,0.126781,review
5,0.166667,10,0.333333,0.158476,review
6,0.2,12,0.4,0.190171,review
7,0.233333,13,0.433333,0.191886,review
8,0.266667,13,0.433333,0.193601,review
9,0.3,14,0.466667,0.195317,review
10,0.333333,14,0.466667,0.197032,review
11,0.366667,15,0.5,0.198747,review
12,0.4,15,0.5,0.200462,review
13,0.433333,16,0.533333,0.202177,review
14,0.466667,16,0.533333,0.203892,review
15,0.5,17,0.566667,0.205607,review
16,0.533333,17,0.566667,0.207323,review
17,0.566667,18,0.6,0.209038,review
18,0.6,18,0.6,0.210753,review
19,0.633333,19,0.633333,0.206769,review
20,0.666667,19,0.633333,0.202786,review
21,0.7,20,0.666667,0.198802,review
22,0.733333,20,0.666667,0.194819,review
23,0.766667,21,0.7,0.190835,review
24,0.8,21,0.7,0.186851,review
25,0.833333,22,0.733333,0.182868,review
26,0.866667,22,0.733333,0.178884,review
27,0.9,23,0.766667,0.174901,review
28,0.933333,23,0.766667,0.170917,review
29,0.966667,24,0.8,0.166934,review
30,1.0,24,0.8,0.16295,review
31,1.033333,25,0.833333,0.149371,review
32,1.066667,25,0.833333,0.135792,review
33,1.1,26,0.866667,0.122212,review
34,1.133333,26,0.866667,0.108633,review
35,1.166667,27,0.9,0.095054,review
36,1.2,27,0.9,0.081475,review
37,1.233333,28,0.933333,0.067896,review
38,1.266667,28,0.933333,0.054317,review
39,1.3,29,0.966667,0.040737,review
40,1.333333,29,0.966667,0.027158,review
41,1.366667,30,1.0,0.013579,review
42,1.4,30,1.0,0.0,review
43,1.433333,31,1.033333,0.011816,review
44,1.466667,31,1.033333,0.023631,review
45,1.5,32,1.066667,0.035447,review
46,1.533333,32,1.066667,0.047262,review
47,1.566667,33,1.1,0.059078,review
48,1.6,33,1.1,0.070894,review
49,1.633333,34,1.133333,0.082709,review
50,1.666667,34,1.133333,0.094525,review
51,1.7,35,1.166667,0.10634,review
52,1.733333,35,1.166667,0.118156,review
53,1.766667,36,1.2,0.129971,review
54,1.8,36,1.2,0.141787,review
55,1.833333,37,1.233333,0.132147,review
56,1.866667,37,1.233333,0.122507,review
57,1.9,38,1.266667,0.112868,review
58,1.933333,38,1.266667,0.103228,review
59,1.966667,39,1.3,0.093588,review
60,2.0,39,1.3,0.083948,review
61,2.033333,40,1.333333,0.074309,review
62,2.066667,40,1.333333,0.064669,review
63,2.1,40,1.333333,0.055029,review
64,2.133333,41,1.366667,0.04539,review
65,2.166667,41,1.366667,0.03575,review
66,2.2,42,1.4,0.02611,review
67,2.233333,42,1.4,0.059387,review
68,2.266667,43,1.433333,0.092663,review
69,2.3,43,1.433333,0.12594,review
70,2.333333,44,1.466667,0.159217,review
71,2.366667,45,1.5,0.192494,review
72,2.4,45,1.5,0.225771,review
73,2.433333,46,1.533333,0.259047,review
74,2.466667,46,1.533333,0.292324,review
75,2.5,47,1.566667,0.325601,review
76,2.533333,47,1.566667,0.358878,matched
77,2.566667,48,1.6,0.392154,matched
78,2.6,48,1.6,0.425431,matched
79,2.633333,49,1.633333,0.430638,matched
80,2.666667,49,1.633333,0.435846,matched
81,2.7,50,1.666667,0.441053,matched
82,2.733333,50,1.666667,0.446261,matched
83,2.766667,51,1.7,0.451468,matched
84,2.8,51,1.7,0.456676,matched
85,2.833333,52,1.733333,0.461883,matched
86,2.866667,52,1.733333,0.46709,matched
87,2.9,52,1.733333,0.472298,matched
88,2.933333,53,1.766667,0.477505,matched
89,2.966667,53,1.766667,0.482713,matched
90,3.0,54,1.8,0.48792,matched
91,3.033333,54,1.8,0.478214,matched
92,3.066667,55,1.833333,0.468509,matched
93,3.1,55,1.833333,0.458803,matched
94,3.133333,56,1.866667,0.449098,matched
95,3.166667,56,1.866667,0.439393,matched
96,3.2,57,1.9,0.429687,matched
97,3.233333,57,1.9,0.419982,matched
98,3.266667,58,1.933333,0.410276,matched
99,3.3,58,1.933333,0.400571,matched
100,3.333333,59,1.966667,0.390865,matched
101,3.366667,59,1.966667,0.38116,matched
102,3.4,60,2.0,0.371454,matched
103,3.433333,62,2.066667,0.341619,review
104,3.466667,64,2.133333,0.311783,review
105,3.5,66,2.2,0.281948,review
106,3.533333,68,2.266667,0.252112,review
107,3.566667,70,2.333333,0.222276,review
108,3.6,72,2.4,0.192441,review
109,3.633333,74,2.466667,0.182465,review
110,3.666667,76,2.533333,0.17249,review
111,3.7,78,2.6,0.162514,review
112,3.733333,80,2.666667,0.152539,review
113,3.766667,82,2.733333,0.142563,review
114,3.8,84,2.8,0.132588,review
115,3.833333,84,2.8,0.121605,review
116,3.866667,85,2.833333,0.110622,review
117,3.9,86,2.866667,0.099639,review
118,3.933333,86,2.866667,0.088656,review
119,3.966667,87,2.9,0.077673,review
120,4.0,87,2.9,0.066689,review
121,4.033333,88,2.933333,0.055706,review
122,4.066667,88,2.933333,0.044723,review
123,4.1,89,2.966667,0.03374,review
124,4.133333,89,2.966667,0.022757,review
