night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.0,review
1,0.033333,0,0.0,0.015848,review
2,0.066667,1,0.033333,0.031695,review
3,0.1,2,0.066667,0.047543,review
4,0.133333,2,0.066667,0.06339,review
5,0.166667,2,0.066667,0.079238,review
6,0.2,3,0.1,0.095086,review
7,0.233333,4,0.133333,0.110933,review
8,0.266667,4,0.133333,0.126781,review
9,0.3,4,0.133333,0.142628,review
10,0.333333,5,0.166667,0.158476,review
11,0.366667,6,0.2,0.174323,review
12,0.4,6,0.2,0.190171,review
13,0.433333,8,0.266667,0.193601,review
14,0.466667,10,0.333333,0.197032,review
15,0.5,12,0.4,0.200462,review
16,0.533333,14,0.466667,0.203892,review
17,0.566667,16,0.533333,0.207323,review
18,0.6,18,0.6,0.210753,review
19,0.633333,20,0.666667,0.202786,review
20,0.666667,22,0.733333,0.194819,review
21,0.7,24,0.8,0.186851,review
22,0.733333,26,0.866667,0.178884,review
23,0.766667,28,0.933333,0.170917,review
24,0.8,30,1.0,0.16295,review
25,0.833333,32,1.066667,0.135792,review
26,0.866667,34,1.133333,0.108633,review
27,0.9,36,1.2,0.081475,review
28,0.933333,38,1.266667,0.054317,review
29,0.966667,40,1.333333,0.027158,review
30,1.0,42,1.4,0.0,review
31,1.033333,44,1.466667,0.023631,review
32,1.066667,46,1.533333,0.047262,review
33,1.1,48,1.6,0.070893,review
34,1.133333,50,1.666667,0.094525,review
35,1.166667,52,1.733333,0.118156,review
36,1.2,54,1.8,0.141787,review
37,1.233333,56,1.866667,0.122508,review
38,1.266667,58,1.933333,0.103228,review
39,1.3,60,2.0,0.083949,review
40,1.333333,62,2.066667,0.064669,review
41,1.366667,64,2.133333,0.045389,review
42,1.4,66,2.2,0.02611,review
43,1.433333,68,2.266667,0.092664,review
44,1.466667,70,2.333333,0.159217,review
45,1.5,72,2.4,0.225771,review
46,1.533333,74,2.466667,0.292324,review
47,1.566667,76,2.533333,0.358877,matched
48,1.6,78,2.6,0.425431,matched
49,1.633333,80,2.666667,0.435846,matched
50,1.666667,82,2.733333,0.446261,matched
51,1.7,84,2.8,0.456676,matched
52,1.733333,86,2.866667,0.46709,matched
53,1.766667,88,2.933333,0.477505,matched
54,1.8,90,3.0,0.48792,matched
55,1.833333,92,3.066667,0.468509,matched
56,1.866667,94,3.133333,0.449098,matched
57,1.9,96,3.2,0.429687,matched
58,1.933333,98,3.266667,0.410276,matched
59,1.966667,100,3.333333,0.390865,matched
60,2.0,102,3.4,0.371454,matched
61,2.033333,103,3.433333,0.356536,matched
62,2.066667,103,3.433333,0.341619,review
63,2.1,104,3.466667,0.326701,review
64,2.133333,104,3.466667,0.311783,review
65,2.166667,104,3.466667,0.296865,review
66,2.2,105,3.5,0.281948,review
67,2.233333,105,3.5,0.26703,review
68,2.266667,106,3.533333,0.252112,review
69,2.3,106,3.533333,0.237194,review
70,2.333333,107,3.566667,0.222277,review
71,2.366667,107,3.566667,0.207359,review
72,2.4,108,3.6,0.192441,review
73,2.433333,108,3.6,0.187453,review
74,2.466667,109,3.633333,0.182466,review
75,2.5,109,3.633333,0.177478,review
76,2.533333,110,3.666667,0.17249,review
77,2.566667,110,3.666667,0.167502,review
78,2.6,111,3.7,0.162515,review
79,2.633333,111,3.7,0.157527,review
80,2.666667,112,3.733333,0.152539,review
81,2.7,112,3.733333,0.147551,review
82,2.733333,113,3.766667,0.142563,review
83,2.766667,113,3.766667,0.137576,review
84,2.8,114,3.8,0.132588,review
85,2.833333,116,3.866667,0.110622,review
86,2.866667,118,3.933333,0.088656,review
87,2.9,120,4.0,0.066689,review
88,2.933333,122,4.066667,0.044723,review
89,2.966667,124,4.133333,0.022757,review
90,3.0,126,4.2,0.000791,review
91,3.033333,128,4.266667,0.020319,review
92,3.066667,130,4.333333,0.039847,review
93,3.1,132,4.4,0.059374,review
94,3.133333,134,4.466667,0.078902,review
95,3.166667,136,4.533333,0.09843,review
96,3.2,138,4.6,0.117958,review
97,3.233333,140,4.666667,0.136179,review
98,3.266667,142,4.733333,0.154399,review
99,3.3,144,4.8,0.17262,review
100,3.333333,146,4.866667,0.190841,review
101,3.366667,148,4.933333,0.209061,review
102,3.4,150,5.0,0.227282,review
103,3.433333,152,5.066667,0.227175,review
104,3.466667,154,5.133333,0.227068,review
105,3.5,156,5.2,0.226961,review
106,3.533333,158,5.266667,0.226854,review
107,3.566667,160,5.333333,0.226747,review
108,3.6,162,5.4,0.22664,review
109,3.633333,164,5.466667,0.265605,review
110,3.666667,166,5.533333,0.30457,review
111,3.7,168,5.6,0.343535,review
112,3.733333,170,5.666667,0.3825,matched
113,3.766667,172,5.733333,0.421465,matched
114,3.8,174,5.8,0.46043,matched
115,3.833333,175,5.833333,0.450187,matched
116,3.866667,175,5.833333,0.439943,matched
117,3.9,176,5.866667,0.4297,matched
118,3.933333,176,5.866667,0.419456,matched
119,3.966667,177,5.9,0.409213,matched
120,4.0,177,5.9,0.398969,matched
121,4.033333,178,5.933333,0.388726,matched
122,4.066667,178,5.933333,0.378483,matched
123,4.1,179,5.966667,0.368239,matched
124,4.133333,179,5.966667,0.357996,matched
125,4.166667,180,6.0,0.347752,review
126,4.2,180,6.0,0.337509,review
127,4.233333,182,6.066667,0.304548,review
128,4.266667,184,6.133333,0.271588,review
129,4.3,186,6.2,0.238627,review
130,4.333333,188,6.266667,0.205667,review
131,4.366667,190,6.333333,0.172707,review
132,4.4,192,6.4,0.139746,review
133,4.433333,193,6.433333,0.181353,review
134,4.466667,193,6.433333,0.22296,review
135,4.5,193,6.433333,0.264567,review
136,4.533333,194,6.466667,0.306174,review
137,4.566667,194,6.466667,0.34778,review
138,4.6,195,6.5,0.389387,matched
139,4.633333,195,6.5,0.430994,matched
140,4.666667,196,6.533333,0.472601,matched
141,4.7,196,6.533333,0.514208,matched
142,4.733333,197,6.566667,0.555815,matched
143,4.766667,197,6.566667,0.597422,matched
144,4.8,198,6.6,0.639029,matched
145,4.833333,198,6.6,0.607024,matched
146,4.866667,199,6.633333,0.575019,matched
147,4.9,199,6.633333,0.543014,matched
148,4.933333,200,6.666667,0.511009,matched
149,4.966667,201,6.7,0.479004,matched
150,5.0,201,6.7,0.446999,matched
151,5.033333,202,6.733333,0.414993,matched
152,5.066667,202,6.733333,0.382988,matched
153,5.1,203,6.766667,0.350983,matched
154,5.133333,203,6.766667,0.318978,review
155,5.166667,204,6.8,0.286973,review
156,5.2,204,6.8,0.254968,review
157,5.233333,206,6.866667,0.315988,review
158,5.266667,208,6.933333,0.377008,matched
159,5.3,210,7.0,0.438028,matched
160,5.333333,212,7.066667,0.499047,matched
161,5.366667,214,7.133333,0.560067,matched
162,5.4,216,7.2,0.621087,matched
163,5.433333,216,7.2,0.587302,matched
164,5.466667,217,7.233333,0.553516,matched
165,5.5,217,7.233333,0.519731,matched
166,5.533333,218,7.266667,0.485945,matched
167,5.566667,218,7.266667,0.45216,matched
168,5.6,219,7.3,0.418374,matched
169,5.633333,219,7.3,0.384589,matched
170,5.666667,220,7.333333,0.350803,matched
171,5.7,220,7.333333,0.317018,review
172,5.733333,221,7.366667,0.283232,review
173,5.766667,221,7.366667,0.249447,review
174,5.8,222,7.4,0.215661,review
175,5.833333,222,7.4,0.212461,review
176,5.866667,223,7.433333,0.209262,review
177,5.9,224,7.466667,0.206062,review
178,5.933333,224,7.466667,0.202863,review
179,5.966667,224,7.466667,0.199663,review
180,6.0,225,7.5,0.196464,review
181,6.033333,226,7.533333,0.193264,review
182,6.066667,226,7.533333,0.190064,review
183,6.1,226,7.533333,0.186865,review
184,6.133333,227,7.566667,0.183665,review
185,6.166667,228,7.6,0.180466,review
186,6.2,228,7.6,0.177266,review
187,6.233333,230,7.666667,0.208684,review
188,6.266667,232,7.733333,0.240102,review
189,6.3,234,7.8,0.271521,review
190,6.333333,236,7.866667,0.302939,review
191,6.366667,238,7.933333,0.334357,review
192,6.4,240,8.0,0.365775,matched
193,6.433333,240,8.0,0.350321,matched
194,6.466667,241,8.033333,0.334868,review
195,6.5,241,8.033333,0.319414,review
196,6.533333,242,8.066667,0.30396,review
197,6.566667,242,8.066667,0.288507,review
198,6.6,243,8.1,0.273053,review
199,6.633333,243,8.1,0.257599,review
200,6.666667,244,8.133333,0.242146,review
201,6.7,244,8.133333,0.226692,review
202,6.733333,245,8.166667,0.211238,review
203,6.766667,245,8.166667,0.195785,review
204,6.8,246,8.2,0.180331,review
205,6.833333,246,8.2,0.165303,review
206,6.866667,247,8.233333,0.150276,review
207,6.9,247,8.233333,0.135248,review
208,6.933333,248,8.266667,0.120221,review
209,6.966667,248,8.266667,0.105193,review
210,7.0,249,8.3,0.090166,review
211,7.033333,249,8.3,0.075138,review
212,7.066667,250,8.333333,0.06011,review
213,7.1,250,8.333333,0.045083,review
214,7.133333,251,8.366667,0.030055,review
215,7.166667,251,8.366667,0.015028,review
216,7.2,252,8.4,0.0,review
217,7.233333,252,8.4,0.0,review
218,7.266667,253,8.433333,0.0,review
219,7.3,253,8.433333,0.0,review
220,7.333333,254,8.466667,0.0,review
221,7.366667,255,8.5,0.0,review
222,7.4,255,8.5,0.0,review
223,7.433333,256,8.533333,0.0,review
224,7.466667,256,8.533333,0.0,review
225,7.5,257,8.566667,0.0,review
226,7.533333,257,8.566667,0.0,review
227,7.566667,258,8.6,0.0,review
228,7.6,258,8.6,0.0,review
229,7.633333,259,8.633333,0.0,review
230,7.666667,259,8.633333,0.0,review
231,7.7,260,8.666667,0.0,review
232,7.733333,260,8.666667,0.0,review
233,7.766667,261,8.7,0.0,review
234,7.8,261,8.7,0.0,review
