day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.034585,review
1,0.033333,2,0.066667,0.150627,review
2,0.066667,4,0.133333,0.266669,review
3,0.1,6,0.2,0.382711,matched
4,0.133333,8,0.266667,0.498753,matched
5,0.166667,10,0.333333,0.614795,matched
6,0.2,12,0.4,0.730837,matched
7,0.233333,13,0.433333,0.669934,matched
8,0.266667,13,0.433333,0.609031,matched
9,0.3,14,0.466667,0.548128,matched
10,0.333333,14,0.466667,0.487225,matched
11,0.366667,15,0.5,0.426322,matched
12,0.4,15,0.5,0.365419,matched
13,0.433333,16,0.533333,0.304515,review
14,0.466667,16,0.533333,0.243612,review
15,0.5,17,0.566667,0.182709,review
16,0.533333,17,0.566667,0.121806,review
17,0.566667,18,0.6,0.060903,review
18,0.6,18,0.6,0.0,review
19,0.633333,19,0.633333,0.0,review
20,0.666667,19,0.633333,0.0,review
21,0.7,20,0.666667,0.0,review
22,0.733333,20,0.666667,0.0,review
23,0.766667,21,0.7,0.0,review
24,0.8,21,0.7,0.0,review
25,0.833333,22,0.733333,0.0,review
26,0.866667,22,0.733333,0.0,review
27,0.9,23,0.766667,0.0,review
28,0.933333,23,0.766667,0.0,review
29,0.966667,24,0.8,0.0,review
30,1.0,24,0.8,0.0,review
31,1.033333,25,0.833333,0.042304,review
32,1.066667,25,0.833333,0.084607,review
33,1.1,26,0.866667,0.126911,review
34,1.133333,26,0.866667,0.169214,review
35,1.166667,27,0.9,0.211518,review
36,1.2,27,0.9,0.253821,review
37,1.233333,28,0.933333,0.296125,review
38,1.266667,28,0.933333,0.338428,review
39,1.3,29,0.966667,0.380732,matched
40,1.333333,29,0.966667,0.423035,matched
41,1.366667,30,1.0,0.465339,matched
42,1.4,30,1.0,0.507642,matched
43,1.433333,31,1.033333,0.497468,matched
44,1.466667,32,1.066667,0.487294,matched
45,1.5,33,1.1,0.47712,matched
46,1.533333,34,1.133333,0.466946,matched
47,1.566667,35,1.166667,0.456772,matched
48,1.6,36,1.2,0.446598,matched
49,1.633333,37,1.233333,0.438059,matched
50,1.666667,37,1.233333,0.429521,matched
51,1.7,38,1.266667,0.420982,matched
52,1.733333,38,1.266667,0.412444,matched
53,1.766667,39,1.3,0.403905,matched
54,1.8,39,1.3,0.395367,matched
55,1.833333,40,1.333333,0.386828,matched
56,1.866667,40,1.333333,0.37829,matched
57,1.9,40,1.333333,0.369751,matched
58,1.933333,41,1.366667,0.361213,matched
59,1.966667,41,1.366667,0.352674,matched
60,2.0,42,1.4,0.344136,review
61,2.033333,42,1.4,0.363604,matched
62,2.066667,43,1.433333,0.383072,matched
63,2.1,43,1.433333,0.40254,matched
64,2.133333,44,1.466667,0.422008,matched
65,2.166667,44,1.466667,0.441476,matched
66,2.2,45,1.5,0.460944,matched
67,2.233333,45,1.5,0.480412,matched
68,2.266667,46,1.533333,0.49988,matched
69,2.3,46,1.533333,0.519348,matched
70,2.333333,47,1.566667,0.538816,matched
71,2.366667,47,1.566667,0.558284,matched
72,2.4,48,1.6,0.577752,matched
73,2.433333,50,1.666667,0.587818,matched
74,2.466667,52,1.733333,0.597884,matched
75,2.5,54,1.8,0.607951,matched
76,2.533333,56,1.866667,0.618017,matched
77,2.566667,58,1.933333,0.628083,matched
78,2.6,60,2.0,0.638149,matched
79,2.633333,62,2.066667,0.590399,matched
80,2.666667,64,2.133333,0.542649,matched
81,2.7,66,2.2,0.494899,matched
82,2.733333,68,2.266667,0.447149,matched
83,2.766667,70,2.333333,0.399399,matched
84,2.8,72,2.4,0.351649,matched
85,2.833333,74,2.466667,0.409708,matched
86,2.866667,76,2.533333,0.467766,matched
87,2.9,78,2.6,0.525825,matched
88,2.933333,80,2.666667,0.583883,matched
89,2.966667,82,2.733333,0.641942,matched
90,3.0,84,2.8,0.7,matched
91,3.033333,86,2.866667,0.697703,matched
92,3.066667,88,2.933333,0.695405,matched
93,3.1,90,3.0,0.693108,matched
94,3.133333,92,3.066667,0.690811,matched
95,3.166667,94,3.133333,0.688513,matched
96,3.2,96,3.2,0.686216,matched
97,3.233333,97,3.233333,0.689364,matched
98,3.266667,97,3.233333,0.692511,matched
99,3.3,98,3.266667,0.695659,matched
100,3.333333,98,3.266667,0.698807,matched
101,3.366667,99,3.3,0.701955,matched
102,3.4,99,3.3,0.705103,matched
103,3.433333,100,3.333333,0.70825,matched
104,3.466667,100,3.333333,0.711398,matched
105,3.5,101,3.366667,0.714546,matched
106,3.533333,101,3.366667,0.717694,matched
107,3.566667,102,3.4,0.720841,matched
108,3.6,102,3.4,0.723989,matched
109,3.633333,104,3.466667,0.711245,matched
110,3.666667,106,3.533333,0.6985,matched
111,3.7,108,3.6,0.685756,matched
112,3.733333,110,3.666667,0.673012,matched
113,3.766667,112,3.733333,0.660267,matched
114,3.8,114,3.8,0.647523,matched
115,3.833333,116,3.866667,0.632711,matched
116,3.866667,118,3.933333,0.617899,matched
117,3.9,120,4.0,0.603086,matched
118,3.933333,122,4.066667,0.588274,matched
119,3.966667,124,4.133333,0.573462,matched
120,4.0,126,4.2,0.55865,matched
121,4.033333,128,4.266667,0.582208,matched
122,4.066667,130,4.333333,0.605767,matched
123,4.1,132,4.4,0.629325,matched
124,4.133333,134,4.466667,0.652883,matched
125,4.166667,136,4.533333,0.676442,matched
126,4.2,138,4.6,0.7,matched
127,4.233333,139,4.633333,0.68806,matched
128,4.266667,139,4.633333,0.67612,matched
129,4.3,140,4.666667,0.66418,matched
130,4.333333,140,4.666667,0.65224,matched
131,4.366667,141,4.7,0.6403,matched
132,4.4,141,4.7,0.628359,matched
133,4.433333,142,4.733333,0.616419,matched
