night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.034585,review
1,0.033333,0,0.0,0.092606,review
2,0.066667,1,0.033333,0.150627,review
3,0.1,2,0.066667,0.208648,review
4,0.133333,2,0.066667,0.266669,review
5,0.166667,2,0.066667,0.32469,review
6,0.2,3,0.1,0.382711,matched
7,0.233333,4,0.133333,0.440732,matched
8,0.266667,4,0.133333,0.498753,matched
9,0.3,4,0.133333,0.556774,matched
10,0.333333,5,0.166667,0.614795,matched
11,0.366667,6,0.2,0.672816,matched
12,0.4,6,0.2,0.730837,matched
13,0.433333,8,0.266667,0.609031,matched
14,0.466667,10,0.333333,0.487225,matched
15,0.5,12,0.4,0.365419,matched
16,0.533333,14,0.466667,0.243612,review
17,0.566667,16,0.533333,0.121806,review
18,0.6,18,0.6,0.0,review
19,0.633333,20,0.666667,0.0,review
20,0.666667,22,0.733333,0.0,review
21,0.7,24,0.8,0.0,review
22,0.733333,26,0.866667,0.0,review
23,0.766667,28,0.933333,0.0,review
24,0.8,30,1.0,0.0,review
25,0.833333,32,1.066667,0.084607,review
26,0.866667,34,1.133333,0.169214,review
27,0.9,36,1.2,0.253821,review
28,0.933333,38,1.266667,0.338428,review
29,0.966667,40,1.333333,0.423035,matched
30,1.0,42,1.4,0.507642,matched
31,1.033333,43,1.433333,0.497468,matched
32,1.066667,44,1.466667,0.487294,matched
33,1.1,45,1.5,0.47712,matched
34,1.133333,46,1.533333,0.466946,matched
35,1.166667,47,1.566667,0.456772,matched
36,1.2,48,1.6,0.446598,matched
37,1.233333,50,1.666667,0.429521,matched
38,1.266667,52,1.733333,0.412444,matched
39,1.3,54,1.8,0.395367,matched
40,1.333333,56,1.866667,0.37829,matched
41,1.366667,58,1.933333,0.361213,matched
42,1.4,60,2.0,0.344136,review
43,1.433333,62,2.066667,0.383072,matched
44,1.466667,64,2.133333,0.422008,matched
45,1.5,66,2.2,0.460944,matched
46,1.533333,68,2.266667,0.49988,matched
47,1.566667,70,2.333333,0.538816,matched
48,1.6,72,2.4,0.577752,matched
49,1.633333,73,2.433333,0.582785,matched
50,1.666667,73,2.433333,0.587818,matched
51,1.7,74,2.466667,0.592851,matched
52,1.733333,74,2.466667,0.597884,matched
53,1.766667,75,2.5,0.602917,matched
54,1.8,75,2.5,0.607951,matched
55,1.833333,75,2.5,0.612984,matched
56,1.866667,76,2.533333,0.618017,matched
57,1.9,76,2.533333,0.62305,matched
58,1.933333,77,2.566667,0.628083,matched
59,1.966667,77,2.566667,0.633116,matched
60,2.0,78,2.6,0.638149,matched
61,2.033333,78,2.6,0.614274,matched
62,2.066667,79,2.633333,0.590399,matched
63,2.1,79,2.633333,0.566524,matched
64,2.133333,80,2.666667,0.542649,matched
65,2.166667,80,2.666667,0.518774,matched
66,2.2,81,2.7,0.494899,matched
67,2.233333,81,2.7,0.471024,matched
68,2.266667,82,2.733333,0.447149,matched
69,2.3,82,2.733333,0.423274,matched
70,2.333333,83,2.766667,0.399399,matched
71,2.366667,83,2.766667,0.375524,matched
72,2.4,84,2.8,0.351649,matched
73,2.433333,84,2.8,0.380678,matched
74,2.466667,85,2.833333,0.409707,matched
75,2.5,85,2.833333,0.438737,matched
76,2.533333,86,2.866667,0.467766,matched
77,2.566667,86,2.866667,0.496795,matched
78,2.6,87,2.9,0.525824,matched
79,2.633333,87,2.9,0.554854,matched
80,2.666667,88,2.933333,0.583883,matched
81,2.7,88,2.933333,0.612912,matched
82,2.733333,89,2.966667,0.641942,matched
83,2.766667,90,3.0,0.670971,matched
84,2.8,90,3.0,0.7,matched
85,2.833333,91,3.033333,0.698851,matched
86,2.866667,91,3.033333,0.697703,matched
