day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.624772,matched
1,0.033333,0,0.0,0.593095,matched
2,0.066667,1,0.033333,0.561419,matched
3,0.1,2,0.066667,0.529742,matched
4,0.133333,2,0.066667,0.498066,matched
5,0.166667,2,0.066667,0.466389,matched
6,0.2,3,0.1,0.434713,matched
7,0.233333,4,0.133333,0.403036,matched
8,0.266667,4,0.133333,0.371359,matched
9,0.3,4,0.133333,0.339683,review
10,0.333333,5,0.166667,0.308006,review
11,0.366667,6,0.2,0.27633,review
12,0.4,6,0.2,0.244653,review
13,0.433333,6,0.2,0.235628,review
14,0.466667,7,0.233333,0.226602,review
15,0.5,8,0.266667,0.217577,review
16,0.533333,8,0.266667,0.208551,review
17,0.566667,8,0.266667,0.199526,review
18,0.6,9,0.3,0.1905,review
19,0.633333,10,0.333333,0.181475,review
20,0.666667,10,0.333333,0.172449,review
21,0.7,10,0.333333,0.163424,review
22,0.733333,11,0.366667,0.154398,review
23,0.766667,12,0.4,0.145372,review
24,0.8,12,0.4,0.136347,review
25,0.833333,14,0.466667,0.145998,review
26,0.866667,16,0.533333,0.155649,review
27,0.9,18,0.6,0.1653,review
28,0.933333,20,0.666667,0.174951,review
29,0.966667,22,0.733333,0.184602,review
30,1.0,24,0.8,0.194253,review
31,1.033333,25,0.833333,0.181789,review
32,1.066667,25,0.833333,0.169326,review
33,1.1,26,0.866667,0.156862,review
34,1.133333,26,0.866667,0.144399,review
35,1.166667,27,0.9,0.131935,review
36,1.2,27,0.9,0.119471,review
37,1.233333,28,0.933333,0.107008,review
38,1.266667,28,0.933333,0.094544,review
39,1.3,29,0.966667,0.082081,review
40,1.333333,29,0.966667,0.069617,review
41,1.366667,30,1.0,0.057154,review
42,1.4,30,1.0,0.04469,review
43,1.433333,31,1.033333,0.067168,review
44,1.466667,31,1.033333,0.089646,review
45,1.5,32,1.066667,0.112124,review
46,1.533333,32,1.066667,0.134602,review
47,1.566667,33,1.1,0.15708,review
48,1.6,33,1.1,0.179558,review
49,1.633333,34,1.133333,0.202036,review
50,1.666667,34,1.133333,0.224514,review
51,1.7,35,1.166667,0.246992,review
52,1.733333,35,1.166667,0.26947,review
53,1.766667,36,1.2,0.291948,review
54,1.8,36,1.2,0.314426,review
55,1.833333,37,1.233333,0.319976,review
56,1.866667,37,1.233333,0.325527,review
57,1.9,38,1.266667,0.331077,review
58,1.933333,38,1.266667,0.336627,review
59,1.966667,39,1.3,0.342178,review
60,2.0,39,1.3,0.347728,review
61,2.033333,40,1.333333,0.353278,matched
