night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.624772,matched
1,0.033333,2,0.066667,0.561419,matched
2,0.066667,4,0.133333,0.498066,matched
3,0.1,6,0.2,0.434713,matched
4,0.133333,8,0.266667,0.371359,matched
5,0.166667,10,0.333333,0.308006,review
6,0.2,12,0.4,0.244653,review
7,0.233333,14,0.466667,0.226602,review
8,0.266667,16,0.533333,0.208551,review
9,0.3,18,0.6,0.1905,review
10,0.333333,20,0.666667,0.172449,review
11,0.366667,22,0.733333,0.154398,review
12,0.4,24,0.8,0.136347,review
13,0.433333,25,0.833333,0.141172,review
14,0.466667,25,0.833333,0.145998,review
15,0.5,26,0.866667,0.150823,review
16,0.533333,26,0.866667,0.155649,review
17,0.566667,27,0.9,0.160474,review
18,0.6,27,0.9,0.1653,review
19,0.633333,28,0.933333,0.170125,review
20,0.666667,28,0.933333,0.174951,review
21,0.7,28,0.933333,0.179776,review
22,0.733333,29,0.966667,0.184602,review
23,0.766667,29,0.966667,0.189427,review
24,0.8,30,1.0,0.194253,review
25,0.833333,32,1.066667,0.169326,review
26,0.866667,34,1.133333,0.144399,review
27,0.9,36,1.2,0.119472,review
28,0.933333,38,1.266667,0.094544,review
29,0.966667,40,1.333333,0.069617,review
30,1.0,42,1.4,0.04469,review
31,1.033333,44,1.466667,0.089646,review
32,1.066667,46,1.533333,0.134602,review
33,1.1,48,1.6,0.179558,review
34,1.133333,50,1.666667,0.224514,review
35,1.166667,52,1.733333,0.26947,review
36,1.2,54,1.8,0.314426,review
37,1.233333,56,1.866667,0.325527,review
38,1.266667,58,1.933333,0.336627,review
39,1.3,60,2.0,0.347728,review
40,1.333333,62,2.066667,0.358829,matched
41,1.366667,64,2.133333,0.369929,matched
42,1.4,66,2.2,0.38103,matched
43,1.433333,68,2.266667,0.345865,review
44,1.466667,70,2.333333,0.310701,review
45,1.5,72,2.4,0.275536,review
46,1.533333,74,2.466667,0.240372,review
47,1.566667,76,2.533333,0.205208,review
48,1.6,78,2.6,0.170043,review
49,1.633333,80,2.666667,0.145124,review
50,1.666667,82,2.733333,0.120206,review
51,1.7,84,2.8,0.095287,review
52,1.733333,86,2.866667,0.070368,review
53,1.766667,88,2.933333,0.04545,review
54,1.8,90,3.0,0.020531,review
55,1.833333,92,3.066667,0.076728,review
56,1.866667,94,3.133333,0.132924,review
57,1.9,96,3.2,0.189121,review
58,1.933333,98,3.266667,0.245317,review
59,1.966667,100,3.333333,0.301514,review
60,2.0,102,3.4,0.35771,matched
61,2.033333,104,3.466667,0.348116,review
62,2.066667,106,3.533333,0.338522,review
63,2.1,108,3.6,0.328929,review
64,2.133333,110,3.666667,0.319335,review
65,2.166667,112,3.733333,0.309741,review
66,2.2,114,3.8,0.300147,review
67,2.233333,116,3.866667,0.331271,review
68,2.266667,118,3.933333,0.362395,matched
69,2.3,120,4.0,0.393518,matched
70,2.333333,122,4.066667,0.424642,matched
71,2.366667,124,4.133333,0.455766,matched
72,2.4,126,4.2,0.48689,matched
73,2.433333,128,4.266667,0.489976,matched
74,2.466667,130,4.333333,0.493062,matched
75,2.5,132,4.4,0.496148,matched
76,2.533333,134,4.466667,0.499234,matched
77,2.566667,136,4.533333,0.50232,matched
78,2.6,138,4.6,0.505406,matched
79,2.633333,140,4.666667,0.537838,matched
80,2.666667,142,4.733333,0.570271,matched
81,2.7,144,4.8,0.602703,matched
82,2.733333,146,4.866667,0.635135,matched
83,2.766667,148,4.933333,0.667568,matched
84,2.8,150,5.0,0.7,matched
85,2.833333,152,5.066667,0.647849,matched
86,2.866667,154,5.133333,0.595698,matched
87,2.9,156,5.2,0.543546,matched
88,2.933333,158,5.266667,0.491395,matched
89,2.966667,160,5.333333,0.439244,matched
90,3.0,162,5.4,0.387093,matched
91,3.033333,164,5.466667,0.338528,review
92,3.066667,166,5.533333,0.289962,review
93,3.1,168,5.6,0.241397,review
94,3.133333,170,5.666667,0.192831,review
95,3.166667,172,5.733333,0.144266,review
96,3.2,174,5.8,0.0957,review
97,3.233333,176,5.866667,0.178167,review
98,3.266667,178,5.933333,0.260634,review
99,3.3,180,6.0,0.3431,review
100,3.333333,182,6.066667,0.425567,matched
101,3.366667,184,6.133333,0.508034,matched
102,3.4,186,6.2,0.590501,matched
103,3.433333,186,6.2,0.56031,matched
104,3.466667,187,6.233333,0.530119,matched
105,3.5,187,6.233333,0.499928,matched
106,3.533333,188,6.266667,0.469737,matched
107,3.566667,188,6.266667,0.439546,matched
108,3.6,189,6.3,0.409355,matched
109,3.633333,189,6.3,0.379163,matched
110,3.666667,190,6.333333,0.348972,review
111,3.7,191,6.366667,0.318781,review
112,3.733333,191,6.366667,0.28859,review
113,3.766667,192,6.4,0.258399,review
114,3.8,192,6.4,0.228208,review
115,3.833333,193,6.433333,0.255784,review
116,3.866667,193,6.433333,0.28336,review
