night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.61799,matched
1,0.033333,0,0.0,0.624824,matched
2,0.066667,1,0.033333,0.631658,matched
3,0.1,2,0.066667,0.638493,matched
4,0.133333,2,0.066667,0.645327,matched
5,0.166667,2,0.066667,0.652161,matched
6,0.2,3,0.1,0.658995,matched
7,0.233333,4,0.133333,0.665829,matched
8,0.266667,4,0.133333,0.672663,matched
9,0.3,4,0.133333,0.679497,matched
10,0.333333,5,0.166667,0.686332,matched
11,0.366667,6,0.2,0.693166,matched
12,0.4,6,0.2,0.7,matched
13,0.433333,6,0.2,0.682464,matched
14,0.466667,7,0.233333,0.664928,matched
15,0.5,8,0.266667,0.647392,matched
16,0.533333,8,0.266667,0.629856,matched
17,0.566667,8,0.266667,0.61232,matched
18,0.6,9,0.3,0.594785,matched
19,0.633333,10,0.333333,0.577249,matched
20,0.666667,10,0.333333,0.559713,matched
21,0.7,10,0.333333,0.542177,matched
22,0.733333,11,0.366667,0.524641,matched
23,0.766667,12,0.4,0.507105,matched
24,0.8,12,0.4,0.489569,matched
25,0.833333,12,0.4,0.484838,matched
26,0.866667,13,0.433333,0.480107,matched
27,0.9,14,0.466667,0.475377,matched
28,0.933333,14,0.466667,0.470646,matched
29,0.966667,14,0.466667,0.465915,matched
30,1.0,15,0.5,0.461184,matched
31,1.033333,16,0.533333,0.456453,matched
32,1.066667,16,0.533333,0.451722,matched
33,1.1,16,0.533333,0.446992,matched
34,1.133333,17,0.566667,0.442261,matched
35,1.166667,18,0.6,0.43753,matched
36,1.2,18,0.6,0.432799,matched
37,1.233333,20,0.666667,0.427369,matched
38,1.266667,22,0.733333,0.42194,matched
39,1.3,24,0.8,0.41651,matched
40,1.333333,26,0.866667,0.41108,matched
41,1.366667,28,0.933333,0.405651,matched
42,1.4,30,1.0,0.400221,matched
43,1.433333,31,1.033333,0.406536,matched
44,1.466667,31,1.033333,0.41285,matched
45,1.5,32,1.066667,0.419165,matched
46,1.533333,32,1.066667,0.425479,matched
47,1.566667,33,1.1,0.431794,matched
48,1.6,33,1.1,0.438108,matched
49,1.633333,34,1.133333,0.444423,matched
50,1.666667,34,1.133333,0.450738,matched
51,1.7,35,1.166667,0.457052,matched
52,1.733333,35,1.166667,0.463367,matched
53,1.766667,36,1.2,0.469681,matched
54,1.8,36,1.2,0.475996,matched
55,1.833333,38,1.266667,0.43665,matched
56,1.866667,40,1.333333,0.397305,matched
57,1.9,42,1.4,0.357959,matched
58,1.933333,44,1.466667,0.318613,review
59,1.966667,46,1.533333,0.279268,review
60,2.0,48,1.6,0.239922,review
61,2.033333,50,1.666667,0.263428,review
62,2.066667,52,1.733333,0.286934,review
63,2.1,54,1.8,0.310439,review
64,2.133333,56,1.866667,0.333945,review
65,2.166667,58,1.933333,0.357451,matched
66,2.2,60,2.0,0.380957,matched
67,2.233333,62,2.066667,0.323663,review
68,2.266667,64,2.133333,0.266368,review
69,2.3,66,2.2,0.209074,review
70,2.333333,68,2.266667,0.151779,review
71,2.366667,70,2.333333,0.094485,review
72,2.4,72,2.4,0.03719,review
73,2.433333,74,2.466667,0.043441,review
74,2.466667,76,2.533333,0.049693,review
75,2.5,78,2.6,0.055944,review
76,2.533333,80,2.666667,0.062195,review
77,2.566667,82,2.733333,0.068447,review
78,2.6,84,2.8,0.074698,review
79,2.633333,86,2.866667,0.062248,review
80,2.666667,88,2.933333,0.049799,review
81,2.7,90,3.0,0.037349,review
82,2.733333,92,3.066667,0.024899,review
83,2.766667,94,3.133333,0.01245,review
84,2.8,96,3.2,0.0,review
85,2.833333,98,3.266667,0.0,review
86,2.866667,100,3.333333,0.0,review
87,2.9,102,3.4,0.0,review
88,2.933333,104,3.466667,0.0,review
89,2.966667,106,3.533333,0.0,review
90,3.0,108,3.6,0.0,review
91,3.033333,110,3.666667,0.019841,review
92,3.066667,112,3.733333,0.039681,review
93,3.1,114,3.8,0.059522,review
94,3.133333,116,3.866667,0.079363,review
95,3.166667,118,3.933333,0.099203,review
96,3.2,120,4.0,0.119044,review
97,3.233333,122,4.066667,0.099203,review
98,3.266667,124,4.133333,0.079363,review
99,3.3,126,4.2,0.059522,review
100,3.333333,128,4.266667,0.039681,review
101,3.366667,130,4.333333,0.019841,review
102,3.4,132,4.4,0.0,review
103,3.433333,133,4.433333,0.0,review
104,3.466667,133,4.433333,0.0,review
105,3.5,134,4.466667,0.0,review
106,3.533333,134,4.466667,0.0,review
107,3.566667,134,4.466667,0.0,review
108,3.6,135,4.5,0.0,review
109,3.633333,135,4.5,0.0,review
110,3.666667,136,4.533333,0.0,review
111,3.7,136,4.533333,0.0,review
112,3.733333,137,4.566667,0.0,review
113,3.766667,137,4.566667,0.0,review
114,3.8,138,4.6,0.0,review
115,3.833333,140,4.666667,0.0,review
116,3.866667,142,4.733333,0.0,review
117,3.9,144,4.8,0.0,review
118,3.933333,146,4.866667,0.0,review
119,3.966667,148,4.933333,0.0,review
120,4.0,150,5.0,0.0,review
121,4.033333,150,5.0,0.01367,review
122,4.066667,151,5.033333,0.02734,review
123,4.1,151,5.033333,0.04101,review
124,4.133333,152,5.066667,0.05468,review
125,4.166667,152,5.066667,0.06835,review
126,4.2,153,5.1,0.08202,review
127,4.233333,153,5.1,0.095691,review
128,4.266667,154,5.133333,0.109361,review
129,4.3,154,5.133333,0.123031,review
130,4.333333,155,5.166667,0.136701,review
131,4.366667,155,5.166667,0.150371,review
132,4.4,156,5.2,0.164041,review
133,4.433333,158,5.266667,0.136701,review
134,4.466667,160,5.333333,0.109361,review
135,4.5,162,5.4,0.08202,review
136,4.533333,164,5.466667,0.05468,review
137,4.566667,166,5.533333,0.02734,review
138,4.6,168,5.6,0.0,review
139,4.633333,168,5.6,0.0,review
140,4.666667,169,5.633333,0.0,review
141,4.7,170,5.666667,0.0,review
142,4.733333,170,5.666667,0.0,review
143,4.766667,171,5.7,0.0,review
144,4.8,171,5.7,0.0,review
145,4.833333,172,5.733333,0.0,review
146,4.866667,172,5.733333,0.0,review
147,4.9,173,5.766667,0.0,review
148,4.933333,173,5.766667,0.0,review
149,4.966667,174,5.8,0.0,review
150,5.0,174,5.8,0.0,review
151,5.033333,175,5.833333,0.004508,review
152,5.066667,175,5.833333,0.009017,review
153,5.1,176,5.866667,0.013525,review
154,5.133333,176,5.866667,0.018034,review
155,5.166667,177,5.9,0.022542,review
156,5.2,177,5.9,0.027051,review
157,5.233333,178,5.933333,0.031559,review
158,5.266667,178,5.933333,0.036068,review
159,5.3,179,5.966667,0.040576,review
160,5.333333,179,5.966667,0.045085,review
161,5.366667,179,5.966667,0.049593,review
162,5.4,180,6.0,0.054102,review
163,5.433333,182,6.066667,0.06298,review
164,5.466667,184,6.133333,0.071858,review
165,5.5,186,6.2,0.080737,review
166,5.533333,188,6.266667,0.089615,review
167,5.566667,190,6.333333,0.098493,review
168,5.6,192,6.4,0.107371,review
169,5.633333,194,6.466667,0.089476,review
170,5.666667,196,6.533333,0.071581,review
171,5.7,198,6.6,0.053686,review
172,5.733333,200,6.666667,0.03579,review
173,5.766667,202,6.733333,0.017895,review
174,5.8,204,6.8,0.0,review
175,5.833333,206,6.866667,0.0,review
176,5.866667,208,6.933333,0.0,review
177,5.9,210,7.0,0.0,review
178,5.933333,212,7.066667,0.0,review
179,5.966667,214,7.133333,0.0,review
180,6.0,216,7.2,0.0,review
181,6.033333,218,7.266667,0.0169,review
182,6.066667,220,7.333333,0.0338,review
183,6.1,222,7.4,0.050701,review
184,6.133333,224,7.466667,0.067601,review
185,6.166667,226,7.533333,0.084501,review
186,6.2,228,7.6,0.101401,review
187,6.233333,229,7.633333,0.092951,review
188,6.266667,229,7.633333,0.084501,review
189,6.3,230,7.666667,0.076051,review
190,6.333333,230,7.666667,0.067601,review
191,6.366667,231,7.7,0.059151,review
192,6.4,231,7.7,0.0507,review
193,6.433333,232,7.733333,0.04225,review
194,6.466667,232,7.733333,0.0338,review
195,6.5,233,7.766667,0.02535,review
196,6.533333,233,7.766667,0.0169,review
197,6.566667,234,7.8,0.00845,review
198,6.6,234,7.8,0.0,review
199,6.633333,235,7.833333,0.0,review
200,6.666667,235,7.833333,0.0,review
201,6.7,236,7.866667,0.0,review
