day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.7,matched
1,0.033333,0,0.0,0.7,matched
2,0.066667,1,0.033333,0.7,matched
3,0.1,2,0.066667,0.7,matched
4,0.133333,2,0.066667,0.7,matched
5,0.166667,2,0.066667,0.7,matched
6,0.2,3,0.1,0.7,matched
7,0.233333,4,0.133333,0.7,matched
8,0.266667,4,0.133333,0.7,matched
9,0.3,4,0.133333,0.7,matched
10,0.333333,5,0.166667,0.7,matched
11,0.366667,6,0.2,0.7,matched
12,0.4,6,0.2,0.7,matched
13,0.433333,8,0.266667,0.7,matched
14,0.466667,10,0.333333,0.7,matched
15,0.5,12,0.4,0.7,matched
16,0.533333,14,0.466667,0.7,matched
17,0.566667,16,0.533333,0.7,matched
18,0.6,18,0.6,0.7,matched
19,0.633333,19,0.633333,0.7,matched
20,0.666667,20,0.666667,0.7,matched
21,0.7,21,0.7,0.7,matched
22,0.733333,22,0.733333,0.7,matched
23,0.766667,23,0.766667,0.7,matched
24,0.8,24,0.8,0.7,matched
25,0.833333,26,0.866667,0.655749,matched
26,0.866667,28,0.933333,0.611497,matched
27,0.9,30,1.0,0.567246,matched
28,0.933333,32,1.066667,0.522994,matched
29,0.966667,34,1.133333,0.478743,matched
30,1.0,36,1.2,0.434491,matched
31,1.033333,38,1.266667,0.472004,matched
32,1.066667,40,1.333333,0.509517,matched
33,1.1,42,1.4,0.54703,matched
34,1.133333,44,1.466667,0.584544,matched
35,1.166667,46,1.533333,0.622057,matched
36,1.2,48,1.6,0.65957,matched
37,1.233333,48,1.6,0.605376,matched
38,1.266667,49,1.633333,0.551182,matched
39,1.3,49,1.633333,0.496987,matched
40,1.333333,50,1.666667,0.442793,matched
41,1.366667,50,1.666667,0.388599,matched
42,1.4,51,1.7,0.334405,review
43,1.433333,51,1.7,0.28021,review
44,1.466667,52,1.733333,0.226016,review
45,1.5,52,1.733333,0.171822,review
46,1.533333,53,1.766667,0.117628,review
47,1.566667,53,1.766667,0.063433,review
48,1.6,54,1.8,0.009239,review
49,1.633333,56,1.866667,0.081358,review
50,1.666667,58,1.933333,0.153478,review
51,1.7,60,2.0,0.225598,review
52,1.733333,62,2.066667,0.297717,review
53,1.766667,64,2.133333,0.369837,matched
54,1.8,66,2.2,0.441956,matched
55,1.833333,68,2.266667,0.484963,matched
56,1.866667,70,2.333333,0.527971,matched
57,1.9,72,2.4,0.570978,matched
58,1.933333,74,2.466667,0.613985,matched
59,1.966667,76,2.533333,0.656993,matched
60,2.0,78,2.6,0.7,matched
61,2.033333,80,2.666667,0.7,matched
62,2.066667,82,2.733333,0.7,matched
63,2.1,84,2.8,0.7,matched
64,2.133333,86,2.866667,0.7,matched
65,2.166667,88,2.933333,0.7,matched
66,2.2,90,3.0,0.7,matched
67,2.233333,92,3.066667,0.7,matched
68,2.266667,94,3.133333,0.7,matched
69,2.3,96,3.2,0.7,matched
70,2.333333,98,3.266667,0.7,matched
71,2.366667,100,3.333333,0.7,matched
72,2.4,102,3.4,0.7,matched
73,2.433333,104,3.466667,0.685152,matched
74,2.466667,106,3.533333,0.670305,matched
75,2.5,108,3.6,0.655457,matched
76,2.533333,110,3.666667,0.640609,matched
77,2.566667,112,3.733333,0.625762,matched
78,2.6,114,3.8,0.610914,matched
79,2.633333,116,3.866667,0.625762,matched
80,2.666667,118,3.933333,0.640609,matched
81,2.7,120,4.0,0.655457,matched
82,2.733333,122,4.066667,0.670305,matched
83,2.766667,124,4.133333,0.685152,matched
84,2.8,126,4.2,0.7,matched
85,2.833333,126,4.2,0.687283,matched
86,2.866667,127,4.233333,0.674567,matched
87,2.9,127,4.233333,0.66185,matched
88,2.933333,128,4.266667,0.649134,matched
89,2.966667,128,4.266667,0.636417,matched
90,3.0,129,4.3,0.6237,matched
91,3.033333,129,4.3,0.610984,matched
92,3.066667,130,4.333333,0.598267,matched
93,3.1,131,4.366667,0.585551,matched
94,3.133333,131,4.366667,0.572834,matched
95,3.166667,132,4.4,0.560118,matched
96,3.2,132,4.4,0.547401,matched
97,3.233333,133,4.433333,0.553028,matched
98,3.266667,133,4.433333,0.558654,matched
99,3.3,134,4.466667,0.564281,matched
100,3.333333,134,4.466667,0.569908,matched
101,3.366667,135,4.5,0.575534,matched
102,3.4,135,4.5,0.581161,matched
103,3.433333,136,4.533333,0.586788,matched
104,3.466667,136,4.533333,0.592414,matched
105,3.5,136,4.533333,0.598041,matched
106,3.533333,137,4.566667,0.603668,matched
107,3.566667,137,4.566667,0.609294,matched
108,3.6,138,4.6,0.614921,matched
109,3.633333,138,4.6,0.563677,matched
110,3.666667,139,4.633333,0.512434,matched
111,3.7,140,4.666667,0.461191,matched
112,3.733333,140,4.666667,0.409947,matched
113,3.766667,141,4.7,0.358704,matched
114,3.8,141,4.7,0.30746,review
115,3.833333,142,4.733333,0.256217,review
116,3.866667,142,4.733333,0.204974,review
117,3.9,143,4.766667,0.15373,review
118,3.933333,143,4.766667,0.102487,review
119,3.966667,144,4.8,0.051243,review
120,4.0,144,4.8,0.0,review
121,4.033333,145,4.833333,0.000133,review
122,4.066667,145,4.833333,0.000267,review
123,4.1,146,4.866667,0.0004,review
124,4.133333,146,4.866667,0.000534,review
125,4.166667,147,4.9,0.000667,review
126,4.2,147,4.9,0.0008,review
127,4.233333,148,4.933333,0.000934,review
128,4.266667,148,4.933333,0.001067,review
129,4.3,149,4.966667,0.001201,review
130,4.333333,149,4.966667,0.001334,review
131,4.366667,149,4.966667,0.001468,review
132,4.4,150,5.0,0.001601,review
133,4.433333,150,5.0,0.03619,review
134,4.466667,151,5.033333,0.07078,review
135,4.5,151,5.033333,0.105369,review
136,4.533333,152,5.066667,0.139958,review
137,4.566667,152,5.066667,0.174548,review
138,4.6,153,5.1,0.209137,review
139,4.633333,153,5.1,0.243726,review
140,4.666667,154,5.133333,0.278316,review
141,4.7,154,5.133333,0.312905,review
142,4.733333,155,5.166667,0.347494,review
143,4.766667,155,5.166667,0.382083,matched
144,4.8,156,5.2,0.416673,matched
145,4.833333,156,5.2,0.388293,matched
146,4.866667,157,5.233333,0.359913,matched
147,4.9,157,5.233333,0.331533,review
148,4.933333,158,5.266667,0.303152,review
149,4.966667,158,5.266667,0.274772,review
150,5.0,159,5.3,0.246392,review
151,5.033333,159,5.3,0.218012,review
152,5.066667,160,5.333333,0.189632,review
153,5.1,161,5.366667,0.161251,review
154,5.133333,161,5.366667,0.132871,review
155,5.166667,162,5.4,0.104491,review
156,5.2,162,5.4,0.076111,review
157,5.233333,163,5.433333,0.094648,review
158,5.266667,163,5.433333,0.113184,review
159,5.3,164,5.466667,0.131721,review
160,5.333333,164,5.466667,0.150258,review
161,5.366667,165,5.5,0.168794,review
162,5.4,165,5.5,0.187331,review
163,5.433333,166,5.533333,0.205868,review
164,5.466667,166,5.533333,0.224404,review
165,5.5,167,5.566667,0.242941,review
166,5.533333,167,5.566667,0.261478,review
167,5.566667,167,5.566667,0.280014,review
168,5.6,168,5.6,0.298551,review
169,5.633333,170,5.666667,0.342602,review
170,5.666667,172,5.733333,0.386653,matched
171,5.7,174,5.8,0.430703,matched
172,5.733333,176,5.866667,0.474754,matched
173,5.766667,178,5.933333,0.518805,matched
174,5.8,180,6.0,0.562856,matched
175,5.833333,180,6.0,0.549285,matched
176,5.866667,181,6.033333,0.535714,matched
177,5.9,181,6.033333,0.522142,matched
178,5.933333,182,6.066667,0.508571,matched
179,5.966667,182,6.066667,0.495,matched
180,6.0,183,6.1,0.481429,matched
181,6.033333,183,6.1,0.467857,matched
