night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.7,matched
1,0.033333,2,0.066667,0.7,matched
2,0.066667,4,0.133333,0.7,matched
3,0.1,6,0.2,0.7,matched
4,0.133333,8,0.266667,0.7,matched
5,0.166667,10,0.333333,0.7,matched
6,0.2,12,0.4,0.7,matched
7,0.233333,13,0.433333,0.7,matched
8,0.266667,13,0.433333,0.7,matched
9,0.3,14,0.466667,0.7,matched
10,0.333333,14,0.466667,0.7,matched
11,0.366667,15,0.5,0.7,matched
12,0.4,15,0.5,0.7,matched
13,0.433333,16,0.533333,0.7,matched
14,0.466667,16,0.533333,0.7,matched
15,0.5,17,0.566667,0.7,matched
16,0.533333,17,0.566667,0.7,matched
17,0.566667,18,0.6,0.7,matched
18,0.6,18,0.6,0.7,matched
19,0.633333,19,0.633333,0.7,matched
20,0.666667,20,0.666667,0.7,matched
21,0.7,21,0.7,0.7,matched
22,0.733333,22,0.733333,0.7,matched
23,0.766667,23,0.766667,0.7,matched
24,0.8,24,0.8,0.7,matched
25,0.833333,25,0.833333,0.677874,matched
26,0.866667,25,0.833333,0.655749,matched
27,0.9,25,0.833333,0.633623,matched
28,0.933333,26,0.866667,0.611497,matched
29,0.966667,26,0.866667,0.589371,matched
30,1.0,27,0.9,0.567246,matched
31,1.033333,27,0.9,0.54512,matched
32,1.066667,28,0.933333,0.522994,matched
33,1.1,28,0.933333,0.500868,matched
34,1.133333,29,0.966667,0.478743,matched
35,1.166667,29,0.966667,0.456617,matched
36,1.2,30,1.0,0.434491,matched
37,1.233333,30,1.0,0.453248,matched
38,1.266667,31,1.033333,0.472004,matched
39,1.3,31,1.033333,0.490761,matched
40,1.333333,32,1.066667,0.509517,matched
41,1.366667,33,1.1,0.528274,matched
42,1.4,33,1.1,0.54703,matched
43,1.433333,34,1.133333,0.565787,matched
44,1.466667,34,1.133333,0.584544,matched
45,1.5,35,1.166667,0.6033,matched
46,1.533333,35,1.166667,0.622057,matched
47,1.566667,36,1.2,0.640813,matched
