day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.454687,matched
1,0.033333,0,0.0,0.466048,matched
2,0.066667,1,0.033333,0.47741,matched
3,0.1,2,0.066667,0.488771,matched
4,0.133333,2,0.066667,0.500132,matched
5,0.166667,2,0.066667,0.511493,matched
6,0.2,3,0.1,0.522855,matched
7,0.233333,4,0.133333,0.534216,matched
8,0.266667,4,0.133333,0.545577,matched
9,0.3,4,0.133333,0.556938,matched
10,0.333333,5,0.166667,0.5683,matched
11,0.366667,6,0.2,0.579661,matched
12,0.4,6,0.2,0.591022,matched
13,0.433333,8,0.266667,0.563502,matched
14,0.466667,10,0.333333,0.535981,matched
15,0.5,12,0.4,0.508461,matched
16,0.533333,14,0.466667,0.48094,matched
17,0.566667,16,0.533333,0.45342,matched
18,0.6,18,0.6,0.425899,matched
19,0.633333,20,0.666667,0.471582,matched
20,0.666667,22,0.733333,0.517266,matched
21,0.7,24,0.8,0.562949,matched
22,0.733333,26,0.866667,0.608633,matched
23,0.766667,28,0.933333,0.654316,matched
24,0.8,30,1.0,0.7,matched
25,0.833333,30,1.0,0.664956,matched
26,0.866667,31,1.033333,0.629913,matched
27,0.9,32,1.066667,0.594869,matched
28,0.933333,32,1.066667,0.559825,matched
29,0.966667,33,1.1,0.524782,matched
30,1.0,33,1.1,0.489738,matched
31,1.033333,34,1.133333,0.454694,matched
32,1.066667,34,1.133333,0.419651,matched
33,1.1,35,1.166667,0.384607,matched
34,1.133333,35,1.166667,0.349563,review
35,1.166667,36,1.2,0.31452,review
36,1.2,36,1.2,0.279476,review
37,1.233333,37,1.233333,0.256186,review
38,1.266667,37,1.233333,0.232897,review
39,1.3,38,1.266667,0.209607,review
40,1.333333,38,1.266667,0.186317,review
41,1.366667,38,1.266667,0.163028,review
42,1.4,39,1.3,0.139738,review
43,1.433333,39,1.3,0.116448,review
44,1.466667,40,1.333333,0.093159,review
45,1.5,40,1.333333,0.069869,review
46,1.533333,41,1.366667,0.046579,review
47,1.566667,41,1.366667,0.02329,review
48,1.6,42,1.4,0.0,review
49,1.633333,42,1.4,0.027454,review
50,1.666667,43,1.433333,0.054908,review
51,1.7,43,1.433333,0.082362,review
52,1.733333,44,1.466667,0.109816,review
