night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.454687,matched
1,0.033333,2,0.066667,0.47741,matched
2,0.066667,4,0.133333,0.500132,matched
3,0.1,6,0.2,0.522855,matched
4,0.133333,8,0.266667,0.545577,matched
5,0.166667,10,0.333333,0.5683,matched
6,0.2,12,0.4,0.591022,matched
7,0.233333,13,0.433333,0.577262,matched
8,0.266667,13,0.433333,0.563502,matched
9,0.3,14,0.466667,0.549741,matched
10,0.333333,14,0.466667,0.535981,matched
11,0.366667,15,0.5,0.522221,matched
12,0.4,15,0.5,0.508461,matched
13,0.433333,16,0.533333,0.4947,matched
14,0.466667,16,0.533333,0.48094,matched
15,0.5,17,0.566667,0.46718,matched
16,0.533333,17,0.566667,0.45342,matched
17,0.566667,18,0.6,0.439659,matched
18,0.6,18,0.6,0.425899,matched
19,0.633333,19,0.633333,0.448741,matched
20,0.666667,19,0.633333,0.471582,matched
21,0.7,20,0.666667,0.494424,matched
22,0.733333,20,0.666667,0.517266,matched
23,0.766667,21,0.7,0.540108,matched
24,0.8,21,0.7,0.562949,matched
25,0.833333,22,0.733333,0.585791,matched
26,0.866667,22,0.733333,0.608633,matched
27,0.9,23,0.766667,0.631475,matched
28,0.933333,23,0.766667,0.654316,matched
29,0.966667,24,0.8,0.677158,matched
30,1.0,24,0.8,0.7,matched
31,1.033333,26,0.866667,0.629913,matched
32,1.066667,28,0.933333,0.559825,matched
33,1.1,30,1.0,0.489738,matched
34,1.133333,32,1.066667,0.419651,matched
35,1.166667,34,1.133333,0.349563,review
36,1.2,36,1.2,0.279476,review
37,1.233333,38,1.266667,0.232897,review
38,1.266667,40,1.333333,0.186317,review
39,1.3,42,1.4,0.139738,review
40,1.333333,44,1.466667,0.093159,review
41,1.366667,46,1.533333,0.046579,review
42,1.4,48,1.6,0.0,review
43,1.433333,50,1.666667,0.054908,review
44,1.466667,52,1.733333,0.109816,review
45,1.5,54,1.8,0.164724,review
46,1.533333,56,1.866667,0.219632,review
47,1.566667,58,1.933333,0.27454,review
48,1.6,60,2.0,0.329448,review
49,1.633333,62,2.066667,0.353505,matched
50,1.666667,64,2.133333,0.377561,matched
51,1.7,66,2.2,0.401618,matched
52,1.733333,68,2.266667,0.425675,matched
53,1.766667,70,2.333333,0.449731,matched
54,1.8,72,2.4,0.473788,matched
55,1.833333,74,2.466667,0.424366,matched
56,1.866667,76,2.533333,0.374944,matched
57,1.9,78,2.6,0.325522,review
58,1.933333,80,2.666667,0.2761,review
59,1.966667,82,2.733333,0.226678,review
60,2.0,84,2.8,0.177256,review
61,2.033333,86,2.866667,0.217528,review
62,2.066667,88,2.933333,0.257801,review
63,2.1,90,3.0,0.298073,review
64,2.133333,92,3.066667,0.338346,review
65,2.166667,94,3.133333,0.378618,matched
66,2.2,96,3.2,0.418891,matched
67,2.233333,98,3.266667,0.369247,matched
68,2.266667,100,3.333333,0.319603,review
69,2.3,102,3.4,0.269959,review
70,2.333333,104,3.466667,0.220315,review
71,2.366667,106,3.533333,0.170671,review
72,2.4,108,3.6,0.121027,review
73,2.433333,110,3.666667,0.160075,review
74,2.466667,112,3.733333,0.199123,review
75,2.5,114,3.8,0.23817,review
76,2.533333,116,3.866667,0.277218,review
77,2.566667,118,3.933333,0.316266,review
78,2.6,120,4.0,0.355314,matched
79,2.633333,122,4.066667,0.374222,matched
80,2.666667,124,4.133333,0.39313,matched
81,2.7,126,4.2,0.412038,matched
82,2.733333,128,4.266667,0.430945,matched
83,2.766667,130,4.333333,0.449853,matched
84,2.8,132,4.4,0.468761,matched
85,2.833333,133,4.433333,0.481515,matched
86,2.866667,133,4.433333,0.494269,matched
87,2.9,134,4.466667,0.507023,matched
88,2.933333,134,4.466667,0.519777,matched
89,2.966667,135,4.5,0.532531,matched
90,3.0,135,4.5,0.545285,matched
91,3.033333,135,4.5,0.558039,matched
92,3.066667,136,4.533333,0.570793,matched
93,3.1,136,4.533333,0.583547,matched
94,3.133333,137,4.566667,0.596301,matched
95,3.166667,137,4.566667,0.609055,matched
96,3.2,138,4.6,0.621809,matched
97,3.233333,139,4.633333,0.634649,matched
98,3.266667,140,4.666667,0.647489,matched
99,3.3,141,4.7,0.660328,matched
100,3.333333,142,4.733333,0.673168,matched
101,3.366667,143,4.766667,0.686008,matched
102,3.4,144,4.8,0.698848,matched
103,3.433333,146,4.866667,0.64856,matched
104,3.466667,148,4.933333,0.598272,matched
105,3.5,150,5.0,0.547983,matched
106,3.533333,152,5.066667,0.497695,matched
107,3.566667,154,5.133333,0.447407,matched
108,3.6,156,5.2,0.397119,matched
109,3.633333,158,5.266667,0.409647,matched
110,3.666667,160,5.333333,0.422175,matched
111,3.7,162,5.4,0.434704,matched
112,3.733333,164,5.466667,0.447232,matched
113,3.766667,166,5.533333,0.45976,matched
114,3.8,168,5.6,0.472288,matched
115,3.833333,168,5.6,0.474926,matched
116,3.866667,169,5.633333,0.477563,matched
117,3.9,170,5.666667,0.480201,matched
118,3.933333,170,5.666667,0.482839,matched
119,3.966667,171,5.7,0.485476,matched
120,4.0,171,5.7,0.488114,matched
121,4.033333,172,5.733333,0.490752,matched
122,4.066667,172,5.733333,0.493389,matched
123,4.1,173,5.766667,0.496027,matched
124,4.133333,173,5.766667,0.498665,matched
125,4.166667,174,5.8,0.501302,matched
126,4.2,174,5.8,0.50394,matched
127,4.233333,175,5.833333,0.520278,matched
128,4.266667,175,5.833333,0.536617,matched
129,4.3,176,5.866667,0.552955,matched
130,4.333333,176,5.866667,0.569293,matched
131,4.366667,177,5.9,0.585632,matched
132,4.4,177,5.9,0.60197,matched
133,4.433333,178,5.933333,0.618308,matched
134,4.466667,178,5.933333,0.634647,matched
135,4.5,179,5.966667,0.650985,matched
136,4.533333,179,5.966667,0.667323,matched
137,4.566667,180,6.0,0.683662,matched
138,4.6,180,6.0,0.7,matched
139,4.633333,181,6.033333,0.694536,matched
140,4.666667,181,6.033333,0.689073,matched
141,4.7,181,6.033333,0.683609,matched
142,4.733333,182,6.066667,0.678146,matched
143,4.766667,182,6.066667,0.672682,matched
144,4.8,183,6.1,0.667218,matched
145,4.833333,183,6.1,0.661755,matched
146,4.866667,184,6.133333,0.656291,matched
147,4.9,184,6.133333,0.650828,matched
148,4.933333,185,6.166667,0.645364,matched
149,4.966667,185,6.166667,0.639901,matched
150,5.0,186,6.2,0.634437,matched
151,5.033333,186,6.2,0.631856,matched
152,5.066667,187,6.233333,0.629275,matched
153,5.1,187,6.233333,0.626694,matched
154,5.133333,188,6.266667,0.624112,matched
155,5.166667,188,6.266667,0.621531,matched
156,5.2,189,6.3,0.61895,matched
157,5.233333,189,6.3,0.616369,matched
158,5.266667,190,6.333333,0.613788,matched
159,5.3,190,6.333333,0.611207,matched
160,5.333333,191,6.366667,0.608625,matched
161,5.366667,192,6.4,0.606044,matched
162,5.4,192,6.4,0.603463,matched
163,5.433333,193,6.433333,0.583662,matched
164,5.466667,193,6.433333,0.563861,matched
165,5.5,193,6.433333,0.54406,matched
166,5.533333,194,6.466667,0.524258,matched
167,5.566667,194,6.466667,0.504457,matched
168,5.6,195,6.5,0.484656,matched
169,5.633333,195,6.5,0.464855,matched
170,5.666667,196,6.533333,0.445054,matched
171,5.7,196,6.533333,0.425253,matched
172,5.733333,197,6.566667,0.405451,matched
173,5.766667,197,6.566667,0.38565,matched
174,5.8,198,6.6,0.365849,matched
175,5.833333,198,6.6,0.393695,matched
176,5.866667,199,6.633333,0.421541,matched
177,5.9,199,6.633333,0.449387,matched
178,5.933333,200,6.666667,0.477233,matched
179,5.966667,201,6.7,0.505079,matched
180,6.0,201,6.7,0.532924,matched
181,6.033333,202,6.733333,0.56077,matched
182,6.066667,202,6.733333,0.588616,matched
183,6.1,203,6.766667,0.616462,matched
184,6.133333,203,6.766667,0.644308,matched
185,6.166667,204,6.8,0.672154,matched
186,6.2,204,6.8,0.7,matched
187,6.233333,206,6.866667,0.7,matched
188,6.266667,208,6.933333,0.7,matched
189,6.3,210,7.0,0.7,matched
190,6.333333,212,7.066667,0.7,matched
191,6.366667,214,7.133333,0.7,matched
192,6.4,216,7.2,0.7,matched
193,6.433333,218,7.266667,0.7,matched
194,6.466667,220,7.333333,0.7,matched
195,6.5,222,7.4,0.7,matched
196,6.533333,224,7.466667,0.7,matched
197,6.566667,226,7.533333,0.7,matched
198,6.6,228,7.6,0.7,matched
199,6.633333,230,7.666667,0.680586,matched
200,6.666667,232,7.733333,0.661172,matched
201,6.7,234,7.8,0.641758,matched
202,6.733333,236,7.866667,0.622344,matched
203,6.766667,238,7.933333,0.60293,matched
204,6.8,240,8.0,0.583516,matched
205,6.833333,240,8.0,0.592592,matched
206,6.866667,241,8.033333,0.601669,matched
207,6.9,241,8.033333,0.610745,matched
208,6.933333,242,8.066667,0.619822,matched
209,6.966667,242,8.066667,0.628898,matched
210,7.0,243,8.1,0.637975,matched
211,7.033333,243,8.1,0.647052,matched
212,7.066667,244,8.133333,0.656128,matched
213,7.1,244,8.133333,0.665205,matched
214,7.133333,245,8.166667,0.674281,matched
215,7.166667,245,8.166667,0.683358,matched
216,7.2,246,8.2,0.692434,matched
217,7.233333,248,8.266667,0.621739,matched
218,7.266667,250,8.333333,0.551044,matched
219,7.3,252,8.4,0.480349,matched
220,7.333333,254,8.466667,0.409655,matched
221,7.366667,256,8.533333,0.33896,review
222,7.4,258,8.6,0.268265,review
223,7.433333,260,8.666667,0.340221,review
224,7.466667,262,8.733333,0.412177,matched
225,7.5,264,8.8,0.484132,matched
226,7.533333,266,8.866667,0.556088,matched
227,7.566667,268,8.933333,0.628044,matched
228,7.6,270,9.0,0.7,matched
229,7.633333,272,9.066667,0.665522,matched
230,7.666667,274,9.133333,0.631044,matched
231,7.7,276,9.2,0.596566,matched
232,7.733333,278,9.266667,0.562088,matched
233,7.766667,280,9.333333,0.52761,matched
234,7.8,282,9.4,0.493132,matched
235,7.833333,282,9.4,0.510371,matched
236,7.866667,283,9.433333,0.52761,matched
237,7.9,283,9.433333,0.544849,matched
238,7.933333,284,9.466667,0.562088,matched
239,7.966667,284,9.466667,0.579327,matched
240,8.0,285,9.5,0.596566,matched
241,8.033333,286,9.533333,0.613805,matched
242,8.066667,286,9.533333,0.631044,matched
243,8.1,287,9.566667,0.648283,matched
244,8.133333,287,9.566667,0.665522,matched
245,8.166667,288,9.6,0.682761,matched
246,8.2,288,9.6,0.7,matched
247,8.233333,290,9.666667,0.7,matched
248,8.266667,292,9.733333,0.7,matched
249,8.3,294,9.8,0.7,matched
250,8.333333,296,9.866667,0.7,matched
251,8.366667,298,9.933333,0.7,matched
252,8.4,300,10.0,0.7,matched
253,8.433333,302,10.066667,0.688805,matched
254,8.466667,304,10.133333,0.677611,matched
255,8.5,306,10.2,0.666416,matched
256,8.533333,308,10.266667,0.655221,matched
257,8.566667,310,10.333333,0.644027,matched
258,8.6,312,10.4,0.632832,matched
259,8.633333,314,10.466667,0.644027,matched
260,8.666667,316,10.533333,0.655221,matched
261,8.7,318,10.6,0.666416,matched
262,8.733333,320,10.666667,0.677611,matched
263,8.766667,322,10.733333,0.688805,matched
264,8.8,324,10.8,0.7,matched
265,8.833333,326,10.866667,0.7,matched
266,8.866667,328,10.933333,0.7,matched
267,8.9,330,11.0,0.7,matched
268,8.933333,332,11.066667,0.7,matched
269,8.966667,334,11.133333,0.7,matched
270,9.0,336,11.2,0.7,matched
271,9.033333,336,11.2,0.7,matched
272,9.066667,337,11.233333,0.7,matched
273,9.1,337,11.233333,0.7,matched
274,9.133333,338,11.266667,0.7,matched
275,9.166667,338,11.266667,0.7,matched
276,9.2,339,11.3,0.7,matched
277,9.233333,339,11.3,0.7,matched
278,9.266667,340,11.333333,0.7,matched
279,9.3,340,11.333333,0.7,matched
280,9.333333,341,11.366667,0.7,matched
281,9.366667,341,11.366667,0.7,matched
282,9.4,342,11.4,0.7,matched
283,9.433333,342,11.4,0.699793,matched
284,9.466667,343,11.433333,0.699587,matched
285,9.5,343,11.433333,0.69938,matched
286,9.533333,344,11.466667,0.699174,matched
287,9.566667,345,11.5,0.698967,matched
288,9.6,345,11.5,0.69876,matched
289,9.633333,346,11.533333,0.698554,matched
290,9.666667,346,11.533333,0.698347,matched
291,9.7,347,11.566667,0.698141,matched
292,9.733333,347,11.566667,0.697934,matched
293,9.766667,348,11.6,0.697728,matched
294,9.8,348,11.6,0.697521,matched
295,9.833333,349,11.633333,0.697728,matched
296,9.866667,349,11.633333,0.697934,matched
297,9.9,350,11.666667,0.698141,matched
298,9.933333,350,11.666667,0.698347,matched
299,9.966667,351,11.7,0.698554,matched
300,10.0,351,11.7,0.69876,matched
301,10.033333,352,11.733333,0.698967,matched
302,10.066667,352,11.733333,0.699174,matched
303,10.1,353,11.766667,0.69938,matched
304,10.133333,353,11.766667,0.699587,matched
305,10.166667,354,11.8,0.699793,matched
306,10.2,354,11.8,0.7,matched
307,10.233333,356,11.866667,0.671843,matched
308,10.266667,358,11.933333,0.643686,matched
309,10.3,360,12.0,0.615529,matched
310,10.333333,362,12.066667,0.587372,matched
311,10.366667,364,12.133333,0.559216,matched
312,10.4,366,12.2,0.531059,matched
313,10.433333,368,12.266667,0.536036,matched
314,10.466667,370,12.333333,0.541012,matched
315,10.5,372,12.4,0.545989,matched
316,10.533333,374,12.466667,0.550966,matched
317,10.566667,376,12.533333,0.555942,matched
318,10.6,378,12.6,0.560919,matched
319,10.633333,379,12.633333,0.562935,matched
320,10.666667,379,12.633333,0.564951,matched
321,10.7,380,12.666667,0.566967,matched
322,10.733333,380,12.666667,0.568983,matched
323,10.766667,381,12.7,0.570999,matched
324,10.8,381,12.7,0.573014,matched
325,10.833333,382,12.733333,0.57503,matched
326,10.866667,382,12.733333,0.577046,matched
327,10.9,383,12.766667,0.579062,matched
328,10.933333,383,12.766667,0.581078,matched
329,10.966667,384,12.8,0.583094,matched
330,11.0,384,12.8,0.58511,matched
331,11.033333,386,12.866667,0.604258,matched
332,11.066667,388,12.933333,0.623407,matched
333,11.1,390,13.0,0.642555,matched
334,11.133333,392,13.066667,0.661703,matched
335,11.166667,394,13.133333,0.680852,matched
336,11.2,396,13.2,0.7,matched
337,11.233333,398,13.266667,0.7,matched
338,11.266667,400,13.333333,0.7,matched
339,11.3,402,13.4,0.7,matched
340,11.333333,404,13.466667,0.7,matched
341,11.366667,406,13.533333,0.7,matched
342,11.4,408,13.6,0.7,matched
343,11.433333,409,13.633333,0.685032,matched
344,11.466667,409,13.633333,0.670064,matched
345,11.5,410,13.666667,0.655096,matched
