night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,48,1.6,0.0,review
1,0.033333,49,1.633333,0.014007,review
2,0.066667,49,1.633333,0.028013,review
3,0.1,50,1.666667,0.04202,review
4,0.133333,50,1.666667,0.056027,review
5,0.166667,50,1.666667,0.070033,review
6,0.2,51,1.7,0.08404,review
7,0.233333,51,1.7,0.098047,review
8,0.266667,52,1.733333,0.112053,review
9,0.3,52,1.733333,0.12606,review
10,0.333333,53,1.766667,0.140067,review
11,0.366667,53,1.766667,0.154073,review
12,0.4,54,1.8,0.16808,review
13,0.433333,54,1.8,0.160228,review
14,0.466667,55,1.833333,0.152377,review
15,0.5,55,1.833333,0.144525,review
16,0.533333,56,1.866667,0.136674,review
17,0.566667,56,1.866667,0.128822,review
18,0.6,57,1.9,0.120971,review
19,0.633333,57,1.9,0.113119,review
20,0.666667,58,1.933333,0.105267,review
21,0.7,58,1.933333,0.097416,review
22,0.733333,59,1.966667,0.089564,review
23,0.766667,59,1.966667,0.081713,review
24,0.8,60,2.0,0.073861,review
25,0.833333,60,2.0,0.067706,review
26,0.866667,61,2.033333,0.061551,review
27,0.9,62,2.066667,0.055396,review
28,0.933333,62,2.066667,0.049241,review
29,0.966667,63,2.1,0.043086,review
30,1.0,63,2.1,0.036931,review
31,1.033333,64,2.133333,0.030775,review
32,1.066667,64,2.133333,0.02462,review
33,1.1,65,2.166667,0.018465,review
34,1.133333,65,2.166667,0.01231,review
35,1.166667,66,2.2,0.006155,review
36,1.2,66,2.2,0.0,review
37,1.233333,67,2.233333,0.0,review
38,1.266667,67,2.233333,0.0,review
39,1.3,68,2.266667,0.0,review
40,1.333333,68,2.266667,0.0,review
41,1.366667,69,2.3,0.0,review
42,1.4,69,2.3,0.0,review
43,1.433333,70,2.333333,0.0,review
44,1.466667,70,2.333333,0.0,review
45,1.5,71,2.366667,0.0,review
46,1.533333,71,2.366667,0.0,review
47,1.566667,72,2.4,0.0,review
48,1.6,72,2.4,0.0,review
49,1.633333,73,2.433333,0.0,review
50,1.666667,73,2.433333,0.0,review
51,1.7,74,2.466667,0.0,review
52,1.733333,74,2.466667,0.0,review
53,1.766667,75,2.5,0.0,review
54,1.8,75,2.5,0.0,review
55,1.833333,75,2.5,0.0,review
56,1.866667,76,2.533333,0.0,review
57,1.9,76,2.533333,0.0,review
58,1.933333,77,2.566667,0.0,review
59,1.966667,77,2.566667,0.0,review
60,2.0,78,2.6,0.0,review
61,2.033333,80,2.666667,0.0,review
62,2.066667,82,2.733333,0.0,review
63,2.1,84,2.8,0.0,review
64,2.133333,86,2.866667,0.0,review
65,2.166667,88,2.933333,0.0,review
66,2.2,90,3.0,0.0,review
67,2.233333,92,3.066667,0.0,review
68,2.266667,94,3.133333,0.0,review
