day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,,,0.0,unmatched
1,0.033333,,,0.0,unmatched
2,0.066667,,,0.0,unmatched
3,0.1,,,0.0,unmatched
4,0.133333,,,0.0,unmatched
5,0.166667,,,0.0,unmatched
6,0.2,,,0.0,unmatched
7,0.233333,,,0.0,unmatched
8,0.266667,,,0.0,unmatched
9,0.3,,,0.0,unmatched
10,0.333333,,,0.0,unmatched
11,0.366667,,,0.0,unmatched
12,0.4,,,0.0,unmatched
13,0.433333,,,0.0,unmatched
14,0.466667,,,0.0,unmatched
15,0.5,,,0.0,unmatched
16,0.533333,,,0.0,unmatched
17,0.566667,,,0.0,unmatched
18,0.6,,,0.0,unmatched
19,0.633333,,,0.0,unmatched
20,0.666667,,,0.0,unmatched
21,0.7,,,0.0,unmatched
22,0.733333,,,0.0,unmatched
23,0.766667,,,0.0,unmatched
24,0.8,,,0.0,unmatched
25,0.833333,,,0.0,unmatched
26,0.866667,,,0.0,unmatched
27,0.9,,,0.0,unmatched
28,0.933333,,,0.0,unmatched
29,0.966667,,,0.0,unmatched
30,1.0,,,0.0,unmatched
31,1.033333,,,0.0,unmatched
32,1.066667,,,0.0,unmatched
33,1.1,,,0.0,unmatched
34,1.133333,,,0.0,unmatched
35,1.166667,,,0.0,unmatched
36,1.2,,,0.0,unmatched
37,1.233333,,,0.0,unmatched
38,1.266667,,,0.0,unmatched
39,1.3,,,0.0,unmatched
40,1.333333,,,0.0,unmatched
41,1.366667,,,0.0,unmatched
42,1.4,,,0.0,unmatched
43,1.433333,,,0.0,unmatched
44,1.466667,,,0.0,unmatched
45,1.5,,,0.0,unmatched
46,1.533333,,,0.0,unmatched
47,1.566667,,,0.0,unmatched
48,1.6,,,0.0,unmatched
49,1.633333,,,0.0,unmatched
50,1.666667,,,0.0,unmatched
51,1.7,,,0.0,unmatched
52,1.733333,,,0.0,unmatched
53,1.766667,,,0.0,unmatched
54,1.8,,,0.0,unmatched
55,1.833333,,,0.0,unmatched
56,1.866667,,,0.0,unmatched
57,1.9,,,0.0,unmatched
58,1.933333,,,0.0,unmatched
59,1.966667,,,0.0,unmatched
60,2.0,,,0.0,unmatched
61,2.033333,,,0.0,unmatched
62,2.066667,,,0.0,unmatched
63,2.1,,,0.0,unmatched
64,2.133333,,,0.0,unmatched
65,2.166667,,,0.0,unmatched
66,2.2,,,0.0,unmatched
67,2.233333,,,0.0,unmatched
68,2.266667,,,0.0,unmatched
69,2.3,,,0.0,unmatched
70,2.333333,,,0.0,unmatched
71,2.366667,,,0.0,unmatched
72,2.4,,,0.0,unmatched
73,2.433333,,,0.0,unmatched
74,2.466667,,,0.0,unmatched
75,2.5,,,0.0,unmatched
76,2.533333,,,0.0,unmatched
77,2.566667,,,0.0,unmatched
78,2.6,,,0.0,unmatched
79,2.633333,,,0.0,unmatched
80,2.666667,,,0.0,unmatched
81,2.7,,,0.0,unmatched
82,2.733333,,,0.0,unmatched
83,2.766667,,,0.0,unmatched
84,2.8,,,0.0,unmatched
85,2.833333,,,0.0,unmatched
86,2.866667,,,0.0,unmatched
87,2.9,,,0.0,unmatched
88,2.933333,,,0.0,unmatched
89,2.966667,,,0.0,unmatched
90,3.0,,,0.0,unmatched
91,3.033333,,,0.0,unmatched
92,3.066667,,,0.0,unmatched
93,3.1,,,0.0,unmatched
94,3.133333,,,0.0,unmatched
95,3.166667,,,0.0,unmatched
96,3.2,,,0.0,unmatched
97,3.233333,,,0.0,unmatched
98,3.266667,,,0.0,unmatched
99,3.3,,,0.0,unmatched
100,3.333333,,,0.0,unmatched
101,3.366667,,,0.0,unmatched
102,3.4,,,0.0,unmatched
103,3.433333,,,0.0,unmatched
104,3.466667,,,0.0,unmatched
105,3.5,,,0.0,unmatched
106,3.533333,,,0.0,unmatched
107,3.566667,,,0.0,unmatched
108,3.6,,,0.0,unmatched
109,3.633333,,,0.0,unmatched
110,3.666667,,,0.0,unmatched
111,3.7,,,0.0,unmatched
112,3.733333,,,0.0,unmatched
113,3.766667,,,0.0,unmatched
114,3.8,90,3.0,0.65266,matched
115,3.833333,92,3.066667,0.642965,matched
116,3.866667,94,3.133333,0.63327,matched
117,3.9,96,3.2,0.623575,matched
118,3.933333,98,3.266667,0.61388,matched
119,3.966667,100,3.333333,0.604185,matched
120,4.0,102,3.4,0.59449,matched
121,4.033333,104,3.466667,0.584838,matched
122,4.066667,106,3.533333,0.575186,matched
123,4.1,108,3.6,0.565534,matched
124,4.133333,110,3.666667,0.555882,matched
125,4.166667,112,3.733333,0.54623,matched
126,4.2,114,3.8,0.536578,matched
127,4.233333,115,3.833333,0.550197,matched
128,4.266667,115,3.833333,0.563815,matched
129,4.3,116,3.866667,0.577434,matched
130,4.333333,116,3.866667,0.591052,matched
131,4.366667,117,3.9,0.604671,matched
132,4.4,117,3.9,0.618289,matched
133,4.433333,118,3.933333,0.631908,matched
134,4.466667,118,3.933333,0.645526,matched
135,4.5,119,3.966667,0.659145,matched
136,4.533333,119,3.966667,0.672763,matched
