night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,,,0.0,unmatched
1,0.033333,,,0.0,unmatched
2,0.066667,,,0.0,unmatched
3,0.1,,,0.0,unmatched
4,0.133333,,,0.0,unmatched
5,0.166667,,,0.0,unmatched
6,0.2,,,0.0,unmatched
7,0.233333,,,0.0,unmatched
8,0.266667,,,0.0,unmatched
9,0.3,,,0.0,unmatched
10,0.333333,,,0.0,unmatched
11,0.366667,,,0.0,unmatched
12,0.4,,,0.0,unmatched
13,0.433333,,,0.0,unmatched
14,0.466667,,,0.0,unmatched
15,0.5,,,0.0,unmatched
16,0.533333,,,0.0,unmatched
17,0.566667,,,0.0,unmatched
18,0.6,,,0.0,unmatched
19,0.633333,,,0.0,unmatched
20,0.666667,,,0.0,unmatched
21,0.7,,,0.0,unmatched
22,0.733333,,,0.0,unmatched
23,0.766667,,,0.0,unmatched
24,0.8,,,0.0,unmatched
25,0.833333,,,0.0,unmatched
26,0.866667,,,0.0,unmatched
27,0.9,,,0.0,unmatched
28,0.933333,,,0.0,unmatched
29,0.966667,,,0.0,unmatched
30,1.0,,,0.0,unmatched
31,1.033333,,,0.0,unmatched
32,1.066667,,,0.0,unmatched
33,1.1,,,0.0,unmatched
34,1.133333,,,0.0,unmatched
35,1.166667,,,0.0,unmatched
36,1.2,,,0.0,unmatched
37,1.233333,,,0.0,unmatched
38,1.266667,,,0.0,unmatched
39,1.3,,,0.0,unmatched
40,1.333333,,,0.0,unmatched
41,1.366667,,,0.0,unmatched
42,1.4,,,0.0,unmatched
43,1.433333,,,0.0,unmatched
44,1.466667,,,0.0,unmatched
45,1.5,,,0.0,unmatched
46,1.533333,,,0.0,unmatched
47,1.566667,,,0.0,unmatched
48,1.6,,,0.0,unmatched
49,1.633333,,,0.0,unmatched
50,1.666667,,,0.0,unmatched
51,1.7,,,0.0,unmatched
52,1.733333,,,0.0,unmatched
53,1.766667,,,0.0,unmatched
54,1.8,,,0.0,unmatched
55,1.833333,,,0.0,unmatched
56,1.866667,,,0.0,unmatched
57,1.9,,,0.0,unmatched
58,1.933333,,,0.0,unmatched
59,1.966667,,,0.0,unmatched
60,2.0,,,0.0,unmatched
61,2.033333,,,0.0,unmatched
62,2.066667,,,0.0,unmatched
63,2.1,,,0.0,unmatched
64,2.133333,,,0.0,unmatched
65,2.166667,,,0.0,unmatched
66,2.2,,,0.0,unmatched
67,2.233333,,,0.0,unmatched
68,2.266667,,,0.0,unmatched
69,2.3,,,0.0,unmatched
70,2.333333,,,0.0,unmatched
71,2.366667,,,0.0,unmatched
72,2.4,,,0.0,unmatched
73,2.433333,,,0.0,unmatched
74,2.466667,,,0.0,unmatched
75,2.5,,,0.0,unmatched
76,2.533333,,,0.0,unmatched
77,2.566667,,,0.0,unmatched
78,2.6,,,0.0,unmatched
79,2.633333,,,0.0,unmatched
80,2.666667,,,0.0,unmatched
81,2.7,,,0.0,unmatched
82,2.733333,,,0.0,unmatched
83,2.766667,,,0.0,unmatched
84,2.8,,,0.0,unmatched
85,2.833333,,,0.0,unmatched
86,2.866667,,,0.0,unmatched
87,2.9,,,0.0,unmatched
88,2.933333,,,0.0,unmatched
89,2.966667,,,0.0,unmatched
90,3.0,114,3.8,0.65266,matched
91,3.033333,114,3.8,0.647813,matched
92,3.066667,115,3.833333,0.642965,matched
93,3.1,115,3.833333,0.638118,matched
94,3.133333,116,3.866667,0.63327,matched
95,3.166667,116,3.866667,0.628423,matched
96,3.2,117,3.9,0.623575,matched
97,3.233333,117,3.9,0.618728,matched
98,3.266667,118,3.933333,0.61388,matched
99,3.3,118,3.933333,0.609033,matched
100,3.333333,119,3.966667,0.604185,matched
101,3.366667,119,3.966667,0.599338,matched
102,3.4,120,4.0,0.59449,matched
103,3.433333,120,4.0,0.589664,matched
104,3.466667,121,4.033333,0.584838,matched
105,3.5,121,4.033333,0.580012,matched
106,3.533333,122,4.066667,0.575186,matched
107,3.566667,122,4.066667,0.57036,matched
108,3.6,123,4.1,0.565534,matched
109,3.633333,123,4.1,0.560708,matched
110,3.666667,124,4.133333,0.555882,matched
111,3.7,124,4.133333,0.551056,matched
112,3.733333,125,4.166667,0.54623,matched
113,3.766667,125,4.166667,0.541404,matched
114,3.8,126,4.2,0.536578,matched
115,3.833333,128,4.266667,0.563815,matched
116,3.866667,130,4.333333,0.591052,matched
117,3.9,132,4.4,0.618289,matched
118,3.933333,134,4.466667,0.645526,matched
119,3.966667,136,4.533333,0.672763,matched
120,4.0,138,4.6,0.7,matched
121,4.033333,140,4.666667,0.646161,matched
122,4.066667,142,4.733333,0.592322,matched
123,4.1,144,4.8,0.538482,matched
124,4.133333,146,4.866667,0.484643,matched
125,4.166667,148,4.933333,0.430804,matched
126,4.2,150,5.0,0.376965,matched
127,4.233333,152,5.066667,0.390443,matched
128,4.266667,154,5.133333,0.403921,matched
129,4.3,156,5.2,0.417399,matched
130,4.333333,158,5.266667,0.430877,matched
131,4.366667,160,5.333333,0.444355,matched
132,4.4,162,5.4,0.457833,matched
