night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,114,3.8,0.131678,review
1,0.033333,114,3.8,0.159991,review
2,0.066667,115,3.833333,0.188305,review
3,0.1,115,3.833333,0.216618,review
4,0.133333,116,3.866667,0.244932,review
5,0.166667,116,3.866667,0.273245,review
6,0.2,117,3.9,0.301559,review
7,0.233333,117,3.9,0.329872,review
8,0.266667,118,3.933333,0.358186,matched
9,0.3,118,3.933333,0.386499,matched
10,0.333333,119,3.966667,0.414813,matched
11,0.366667,119,3.966667,0.443126,matched
12,0.4,120,4.0,0.47144,matched
13,0.433333,122,4.066667,0.479078,matched
14,0.466667,124,4.133333,0.486716,matched
15,0.5,126,4.2,0.494354,matched
16,0.533333,128,4.266667,0.501993,matched
17,0.566667,130,4.333333,0.509631,matched
18,0.6,132,4.4,0.517269,matched
19,0.633333,133,4.433333,0.502568,matched
20,0.666667,133,4.433333,0.487867,matched
21,0.7,134,4.466667,0.473166,matched
22,0.733333,134,4.466667,0.458465,matched
23,0.766667,135,4.5,0.443764,matched
24,0.8,135,4.5,0.429063,matched
25,0.833333,135,4.5,0.414361,matched
26,0.866667,136,4.533333,0.39966,matched
27,0.9,136,4.533333,0.384959,matched
28,0.933333,137,4.566667,0.370258,matched
29,0.966667,137,4.566667,0.355557,matched
30,1.0,138,4.6,0.340856,review
31,1.033333,138,4.6,0.370918,matched
32,1.066667,139,4.633333,0.400979,matched
33,1.1,139,4.633333,0.431041,matched
34,1.133333,140,4.666667,0.461103,matched
35,1.166667,141,4.7,0.491165,matched
36,1.2,141,4.7,0.521226,matched
37,1.233333,142,4.733333,0.551288,matched
38,1.266667,142,4.733333,0.58135,matched
39,1.3,143,4.766667,0.611412,matched
40,1.333333,143,4.766667,0.641473,matched
41,1.366667,144,4.8,0.671535,matched
42,1.4,144,4.8,0.701597,matched
43,1.433333,145,4.833333,0.6609,matched
44,1.466667,145,4.833333,0.620204,matched
45,1.5,146,4.866667,0.579507,matched
46,1.533333,146,4.866667,0.538811,matched
47,1.566667,147,4.9,0.498114,matched
48,1.6,147,4.9,0.457417,matched
49,1.633333,148,4.933333,0.416721,matched
50,1.666667,148,4.933333,0.376024,matched
51,1.7,149,4.966667,0.335328,review
52,1.733333,149,4.966667,0.294631,review
53,1.766667,150,5.0,0.253935,review
54,1.8,150,5.0,0.213238,review
55,1.833333,151,5.033333,0.230852,review
56,1.866667,151,5.033333,0.248467,review
57,1.9,151,5.033333,0.266081,review
58,1.933333,152,5.066667,0.283695,review
59,1.966667,152,5.066667,0.30131,review
60,2.0,153,5.1,0.318924,review
61,2.033333,153,5.1,0.336538,review
62,2.066667,154,5.133333,0.354153,matched
63,2.1,154,5.133333,0.371767,matched
64,2.133333,155,5.166667,0.389381,matched
65,2.166667,155,5.166667,0.406996,matched
66,2.2,156,5.2,0.42461,matched
67,2.233333,156,5.2,0.389226,matched
68,2.266667,157,5.233333,0.353842,matched
69,2.3,157,5.233333,0.318458,review
70,2.333333,158,5.266667,0.283073,review
71,2.366667,158,5.266667,0.247689,review
72,2.4,159,5.3,0.212305,review
73,2.433333,159,5.3,0.176921,review
74,2.466667,160,5.333333,0.141537,review
75,2.5,161,5.366667,0.106152,review
76,2.533333,161,5.366667,0.070768,review
77,2.566667,162,5.4,0.035384,review
78,2.6,162,5.4,0.0,review
79,2.633333,163,5.433333,0.0,review
80,2.666667,163,5.433333,0.0,review
81,2.7,164,5.466667,0.0,review
