day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,,,0.0,unmatched
1,0.033333,,,0.0,unmatched
2,0.066667,,,0.0,unmatched
3,0.1,,,0.0,unmatched
4,0.133333,,,0.0,unmatched
5,0.166667,,,0.0,unmatched
6,0.2,,,0.0,unmatched
7,0.233333,,,0.0,unmatched
8,0.266667,,,0.0,unmatched
9,0.3,,,0.0,unmatched
10,0.333333,,,0.0,unmatched
11,0.366667,,,0.0,unmatched
12,0.4,,,0.0,unmatched
13,0.433333,,,0.0,unmatched
14,0.466667,,,0.0,unmatched
15,0.5,,,0.0,unmatched
16,0.533333,,,0.0,unmatched
17,0.566667,,,0.0,unmatched
18,0.6,,,0.0,unmatched
19,0.633333,,,0.0,unmatched
20,0.666667,,,0.0,unmatched
21,0.7,,,0.0,unmatched
22,0.733333,,,0.0,unmatched
23,0.766667,,,0.0,unmatched
24,0.8,,,0.0,unmatched
25,0.833333,,,0.0,unmatched
26,0.866667,,,0.0,unmatched
27,0.9,,,0.0,unmatched
28,0.933333,,,0.0,unmatched
29,0.966667,,,0.0,unmatched
30,1.0,,,0.0,unmatched
31,1.033333,,,0.0,unmatched
32,1.066667,,,0.0,unmatched
33,1.1,,,0.0,unmatched
34,1.133333,,,0.0,unmatched
35,1.166667,,,0.0,unmatched
36,1.2,,,0.0,unmatched
37,1.233333,,,0.0,unmatched
38,1.266667,,,0.0,unmatched
39,1.3,,,0.0,unmatched
40,1.333333,,,0.0,unmatched
41,1.366667,,,0.0,unmatched
42,1.4,54,1.8,0.176327,review
43,1.433333,54,1.8,0.172143,review
44,1.466667,55,1.833333,0.167959,review
45,1.5,55,1.833333,0.163775,review
46,1.533333,56,1.866667,0.159591,review
47,1.566667,56,1.866667,0.155407,review
48,1.6,57,1.9,0.151223,review
49,1.633333,57,1.9,0.147038,review
50,1.666667,58,1.933333,0.142854,review
51,1.7,59,1.966667,0.13867,review
52,1.733333,59,1.966667,0.134486,review
53,1.766667,60,2.0,0.130302,review
54,1.8,60,2.0,0.126118,review
55,1.833333,61,2.033333,0.126977,review
56,1.866667,61,2.033333,0.127836,review
57,1.9,62,2.066667,0.128694,review
58,1.933333,62,2.066667,0.129553,review
59,1.966667,63,2.1,0.130412,review
60,2.0,63,2.1,0.131271,review
61,2.033333,64,2.133333,0.132129,review
62,2.066667,64,2.133333,0.132988,review
63,2.1,65,2.166667,0.133847,review
64,2.133333,65,2.166667,0.134706,review
65,2.166667,66,2.2,0.135564,review
66,2.2,66,2.2,0.136423,review
67,2.233333,68,2.266667,0.14068,review
68,2.266667,70,2.333333,0.144938,review
69,2.3,72,2.4,0.149195,review
70,2.333333,74,2.466667,0.153453,review
71,2.366667,76,2.533333,0.15771,review
72,2.4,78,2.6,0.161968,review
73,2.433333,80,2.666667,0.137405,review
74,2.466667,82,2.733333,0.112842,review
75,2.5,84,2.8,0.088279,review
76,2.533333,86,2.866667,0.063716,review
77,2.566667,88,2.933333,0.039153,review
78,2.6,90,3.0,0.01459,review
79,2.633333,92,3.066667,0.012158,review
80,2.666667,94,3.133333,0.009727,review
81,2.7,96,3.2,0.007295,review
82,2.733333,98,3.266667,0.004863,review
83,2.766667,100,3.333333,0.002432,review
84,2.8,102,3.4,0.0,review
85,2.833333,104,3.466667,0.018613,review
86,2.866667,106,3.533333,0.037225,review
87,2.9,108,3.6,0.055838,review
88,2.933333,110,3.666667,0.074451,review
89,2.966667,112,3.733333,0.093063,review
90,3.0,114,3.8,0.111676,review
91,3.033333,116,3.866667,0.093063,review
92,3.066667,118,3.933333,0.074451,review
93,3.1,120,4.0,0.055838,review
94,3.133333,122,4.066667,0.037225,review
95,3.166667,124,4.133333,0.018613,review
96,3.2,126,4.2,0.0,review
97,3.233333,128,4.266667,0.0,review
98,3.266667,130,4.333333,0.0,review
99,3.3,132,4.4,0.0,review
100,3.333333,134,4.466667,0.0,review
101,3.366667,136,4.533333,0.0,review
102,3.4,138,4.6,0.0,review
103,3.433333,138,4.6,0.00388,review
104,3.466667,139,4.633333,0.007759,review
105,3.5,139,4.633333,0.011639,review
106,3.533333,140,4.666667,0.015519,review
107,3.566667,141,4.7,0.019398,review
108,3.6,141,4.7,0.023278,review
109,3.633333,142,4.733333,0.027158,review
110,3.666667,142,4.733333,0.031037,review
111,3.7,143,4.766667,0.034917,review
112,3.733333,143,4.766667,0.038797,review
113,3.766667,144,4.8,0.042676,review
114,3.8,144,4.8,0.046556,review
115,3.833333,145,4.833333,0.042676,review
116,3.866667,145,4.833333,0.038797,review
117,3.9,146,4.866667,0.034917,review
118,3.933333,146,4.866667,0.031037,review
119,3.966667,147,4.9,0.027158,review
120,4.0,147,4.9,0.023278,review
121,4.033333,148,4.933333,0.019398,review
122,4.066667,148,4.933333,0.015519,review
123,4.1,149,4.966667,0.011639,review
124,4.133333,149,4.966667,0.007759,review
125,4.166667,150,5.0,0.00388,review
126,4.2,150,5.0,0.0,review
127,4.233333,151,5.033333,0.006454,review
128,4.266667,151,5.033333,0.012908,review
