night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,,,0.0,unmatched
1,0.033333,,,0.0,unmatched
2,0.066667,,,0.0,unmatched
3,0.1,,,0.0,unmatched
4,0.133333,,,0.0,unmatched
5,0.166667,,,0.0,unmatched
6,0.2,,,0.0,unmatched
7,0.233333,,,0.0,unmatched
8,0.266667,,,0.0,unmatched
9,0.3,,,0.0,unmatched
10,0.333333,,,0.0,unmatched
11,0.366667,,,0.0,unmatched
12,0.4,,,0.0,unmatched
13,0.433333,,,0.0,unmatched
14,0.466667,,,0.0,unmatched
15,0.5,,,0.0,unmatched
16,0.533333,,,0.0,unmatched
17,0.566667,,,0.0,unmatched
18,0.6,,,0.0,unmatched
19,0.633333,,,0.0,unmatched
20,0.666667,,,0.0,unmatched
21,0.7,,,0.0,unmatched
22,0.733333,,,0.0,unmatched
23,0.766667,,,0.0,unmatched
24,0.8,,,0.0,unmatched
25,0.833333,,,0.0,unmatched
26,0.866667,,,0.0,unmatched
27,0.9,,,0.0,unmatched
28,0.933333,,,0.0,unmatched
29,0.966667,,,0.0,unmatched
30,1.0,,,0.0,unmatched
31,1.033333,,,0.0,unmatched
32,1.066667,,,0.0,unmatched
33,1.1,,,0.0,unmatched
34,1.133333,,,0.0,unmatched
35,1.166667,,,0.0,unmatched
36,1.2,,,0.0,unmatched
37,1.233333,,,0.0,unmatched
38,1.266667,,,0.0,unmatched
39,1.3,,,0.0,unmatched
40,1.333333,,,0.0,unmatched
41,1.366667,,,0.0,unmatched
42,1.4,,,0.0,unmatched
43,1.433333,,,0.0,unmatched
44,1.466667,,,0.0,unmatched
45,1.5,,,0.0,unmatched
46,1.533333,,,0.0,unmatched
47,1.566667,,,0.0,unmatched
48,1.6,,,0.0,unmatched
49,1.633333,,,0.0,unmatched
50,1.666667,,,0.0,unmatched
51,1.7,,,0.0,unmatched
52,1.733333,,,0.0,unmatched
53,1.766667,,,0.0,unmatched
54,1.8,42,1.4,0.176327,review
55,1.833333,44,1.466667,0.167959,review
56,1.866667,46,1.533333,0.159591,review
57,1.9,48,1.6,0.151222,review
58,1.933333,50,1.666667,0.142854,review
59,1.966667,52,1.733333,0.134486,review
60,2.0,54,1.8,0.126118,review
61,2.033333,56,1.866667,0.127836,review
62,2.066667,58,1.933333,0.129553,review
63,2.1,60,2.0,0.131271,review
64,2.133333,62,2.066667,0.132988,review
65,2.166667,64,2.133333,0.134706,review
66,2.2,66,2.2,0.136423,review
67,2.233333,67,2.233333,0.138552,review
68,2.266667,67,2.233333,0.140681,review
69,2.3,68,2.266667,0.142809,review
70,2.333333,68,2.266667,0.144938,review
71,2.366667,69,2.3,0.147067,review
72,2.4,69,2.3,0.149196,review
73,2.433333,70,2.333333,0.151324,review
74,2.466667,70,2.333333,0.153453,review
75,2.5,71,2.366667,0.155582,review
76,2.533333,71,2.366667,0.15771,review
77,2.566667,72,2.4,0.159839,review
78,2.6,72,2.4,0.161968,review
79,2.633333,73,2.433333,0.149686,review
80,2.666667,73,2.433333,0.137405,review
81,2.7,74,2.466667,0.125123,review
82,2.733333,74,2.466667,0.112842,review
83,2.766667,75,2.5,0.10056,review
84,2.8,75,2.5,0.088279,review
85,2.833333,76,2.533333,0.075997,review
86,2.866667,76,2.533333,0.063716,review
87,2.9,76,2.533333,0.051434,review
88,2.933333,77,2.566667,0.039153,review
89,2.966667,77,2.566667,0.026871,review
90,3.0,78,2.6,0.01459,review
91,3.033333,78,2.6,0.013374,review
92,3.066667,79,2.633333,0.012158,review
93,3.1,79,2.633333,0.010943,review
94,3.133333,80,2.666667,0.009727,review
95,3.166667,80,2.666667,0.008511,review
96,3.2,81,2.7,0.007295,review
97,3.233333,81,2.7,0.006079,review
98,3.266667,82,2.733333,0.004863,review
99,3.3,82,2.733333,0.003648,review
100,3.333333,83,2.766667,0.002432,review
101,3.366667,83,2.766667,0.001216,review
102,3.4,84,2.8,0.0,review
103,3.433333,84,2.8,0.009306,review
104,3.466667,85,2.833333,0.018613,review
105,3.5,85,2.833333,0.027919,review
106,3.533333,86,2.866667,0.037225,review
107,3.566667,86,2.866667,0.046532,review
108,3.6,87,2.9,0.055838,review
109,3.633333,87,2.9,0.065144,review
110,3.666667,88,2.933333,0.074451,review
111,3.7,88,2.933333,0.083757,review
112,3.733333,89,2.966667,0.093063,review
113,3.766667,90,3.0,0.10237,review
114,3.8,90,3.0,0.111676,review
115,3.833333,91,3.033333,0.10237,review
116,3.866667,91,3.033333,0.093063,review
117,3.9,92,3.066667,0.083757,review
118,3.933333,92,3.066667,0.074451,review
119,3.966667,93,3.1,0.065144,review
120,4.0,93,3.1,0.055838,review
121,4.033333,94,3.133333,0.046532,review
122,4.066667,94,3.133333,0.037225,review
123,4.1,95,3.166667,0.027919,review
124,4.133333,95,3.166667,0.018613,review
125,4.166667,96,3.2,0.009306,review
126,4.2,96,3.2,0.0,review
127,4.233333,97,3.233333,0.0,review
128,4.266667,97,3.233333,0.0,review
129,4.3,98,3.266667,0.0,review
130,4.333333,98,3.266667,0.0,review
