day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.422948,matched
1,0.033333,2,0.066667,0.464008,matched
2,0.066667,4,0.133333,0.505068,matched
3,0.1,6,0.2,0.546129,matched
4,0.133333,8,0.266667,0.587189,matched
5,0.166667,10,0.333333,0.628249,matched
6,0.2,12,0.4,0.669309,matched
7,0.233333,13,0.433333,0.657913,matched
8,0.266667,13,0.433333,0.646517,matched
9,0.3,14,0.466667,0.635121,matched
10,0.333333,14,0.466667,0.623724,matched
11,0.366667,15,0.5,0.612328,matched
12,0.4,15,0.5,0.600932,matched
13,0.433333,16,0.533333,0.589536,matched
14,0.466667,16,0.533333,0.57814,matched
15,0.5,17,0.566667,0.566743,matched
16,0.533333,17,0.566667,0.555347,matched
17,0.566667,18,0.6,0.543951,matched
18,0.6,18,0.6,0.532555,matched
19,0.633333,19,0.633333,0.533723,matched
20,0.666667,19,0.633333,0.534891,matched
21,0.7,20,0.666667,0.53606,matched
22,0.733333,20,0.666667,0.537228,matched
23,0.766667,21,0.7,0.538396,matched
24,0.8,21,0.7,0.539564,matched
25,0.833333,22,0.733333,0.540733,matched
26,0.866667,22,0.733333,0.541901,matched
27,0.9,23,0.766667,0.543069,matched
28,0.933333,23,0.766667,0.544237,matched
29,0.966667,24,0.8,0.545406,matched
30,1.0,24,0.8,0.546574,matched
31,1.033333,26,0.866667,0.506329,matched
32,1.066667,28,0.933333,0.466084,matched
33,1.1,30,1.0,0.425839,matched
34,1.133333,32,1.066667,0.385593,matched
35,1.166667,34,1.133333,0.345348,review
36,1.2,36,1.2,0.305103,review
37,1.233333,38,1.266667,0.324696,review
38,1.266667,40,1.333333,0.34429,review
39,1.3,42,1.4,0.363883,matched
40,1.333333,44,1.466667,0.383477,matched
41,1.366667,46,1.533333,0.40307,matched
42,1.4,48,1.6,0.422664,matched
43,1.433333,50,1.666667,0.429438,matched
44,1.466667,52,1.733333,0.436213,matched
45,1.5,54,1.8,0.442987,matched
46,1.533333,56,1.866667,0.449761,matched
47,1.566667,58,1.933333,0.456536,matched
48,1.6,60,2.0,0.46331,matched
49,1.633333,62,2.066667,0.451553,matched
50,1.666667,64,2.133333,0.439796,matched
51,1.7,66,2.2,0.428039,matched
52,1.733333,68,2.266667,0.416282,matched
53,1.766667,70,2.333333,0.404525,matched
54,1.8,72,2.4,0.392768,matched
55,1.833333,74,2.466667,0.342771,review
56,1.866667,76,2.533333,0.292775,review
57,1.9,78,2.6,0.242778,review
58,1.933333,80,2.666667,0.192781,review
59,1.966667,82,2.733333,0.142785,review
60,2.0,84,2.8,0.092788,review
61,2.033333,86,2.866667,0.19399,review
62,2.066667,88,2.933333,0.295192,review
63,2.1,90,3.0,0.396394,matched
