night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.422948,matched
1,0.033333,0,0.0,0.443478,matched
2,0.066667,1,0.033333,0.464008,matched
3,0.1,2,0.066667,0.484538,matched
4,0.133333,2,0.066667,0.505068,matched
5,0.166667,2,0.066667,0.525598,matched
6,0.2,3,0.1,0.546129,matched
7,0.233333,4,0.133333,0.566659,matched
8,0.266667,4,0.133333,0.587189,matched
9,0.3,4,0.133333,0.607719,matched
10,0.333333,5,0.166667,0.628249,matched
11,0.366667,6,0.2,0.648779,matched
12,0.4,6,0.2,0.669309,matched
13,0.433333,8,0.266667,0.646517,matched
14,0.466667,10,0.333333,0.623724,matched
15,0.5,12,0.4,0.600932,matched
16,0.533333,14,0.466667,0.57814,matched
17,0.566667,16,0.533333,0.555347,matched
18,0.6,18,0.6,0.532555,matched
19,0.633333,20,0.666667,0.534891,matched
20,0.666667,22,0.733333,0.537228,matched
21,0.7,24,0.8,0.539564,matched
22,0.733333,26,0.866667,0.541901,matched
23,0.766667,28,0.933333,0.544237,matched
24,0.8,30,1.0,0.546574,matched
25,0.833333,30,1.0,0.526451,matched
26,0.866667,31,1.033333,0.506329,matched
27,0.9,32,1.066667,0.486206,matched
28,0.933333,32,1.066667,0.466084,matched
29,0.966667,33,1.1,0.445961,matched
30,1.0,33,1.1,0.425839,matched
31,1.033333,34,1.133333,0.405716,matched
32,1.066667,34,1.133333,0.385593,matched
33,1.1,35,1.166667,0.365471,matched
34,1.133333,35,1.166667,0.345348,review
35,1.166667,36,1.2,0.325226,review
36,1.2,36,1.2,0.305103,review
37,1.233333,37,1.233333,0.3149,review
38,1.266667,37,1.233333,0.324696,review
39,1.3,38,1.266667,0.334493,review
40,1.333333,38,1.266667,0.34429,review
41,1.366667,38,1.266667,0.354087,matched
42,1.4,39,1.3,0.363883,matched
43,1.433333,39,1.3,0.37368,matched
44,1.466667,40,1.333333,0.383477,matched
45,1.5,40,1.333333,0.393274,matched
46,1.533333,41,1.366667,0.40307,matched
47,1.566667,41,1.366667,0.412867,matched
48,1.6,42,1.4,0.422664,matched
49,1.633333,42,1.4,0.426051,matched
50,1.666667,43,1.433333,0.429438,matched
51,1.7,43,1.433333,0.432825,matched
52,1.733333,44,1.466667,0.436213,matched
53,1.766667,44,1.466667,0.4396,matched
54,1.8,45,1.5,0.442987,matched
55,1.833333,45,1.5,0.446374,matched
56,1.866667,46,1.533333,0.449761,matched
57,1.9,47,1.566667,0.453148,matched
58,1.933333,47,1.566667,0.456536,matched
59,1.966667,48,1.6,0.459923,matched
60,2.0,48,1.6,0.46331,matched
61,2.033333,49,1.633333,0.457432,matched
62,2.066667,49,1.633333,0.451553,matched
63,2.1,49,1.633333,0.445675,matched
64,2.133333,50,1.666667,0.439796,matched
65,2.166667,50,1.666667,0.433918,matched
66,2.2,51,1.7,0.428039,matched
67,2.233333,51,1.7,0.422161,matched
68,2.266667,52,1.733333,0.416282,matched
69,2.3,52,1.733333,0.410404,matched
70,2.333333,53,1.766667,0.404525,matched
71,2.366667,53,1.766667,0.398647,matched
72,2.4,54,1.8,0.392768,matched
73,2.433333,54,1.8,0.36777,matched
74,2.466667,55,1.833333,0.342771,review
75,2.5,55,1.833333,0.317773,review
76,2.533333,56,1.866667,0.292775,review
77,2.566667,56,1.866667,0.267776,review
78,2.6,57,1.9,0.242778,review
79,2.633333,57,1.9,0.21778,review
80,2.666667,58,1.933333,0.192781,review
81,2.7,58,1.933333,0.167783,review
82,2.733333,59,1.966667,0.142785,review
83,2.766667,60,2.0,0.117786,review
84,2.8,60,2.0,0.092788,review
85,2.833333,61,2.033333,0.143389,review
86,2.866667,61,2.033333,0.19399,review
87,2.9,62,2.066667,0.244591,review
88,2.933333,62,2.066667,0.295192,review
89,2.966667,63,2.1,0.345793,review
90,3.0,63,2.1,0.396394,matched
91,3.033333,64,2.133333,0.446995,matched
92,3.066667,64,2.133333,0.497596,matched
93,3.1,65,2.166667,0.548197,matched
94,3.133333,65,2.166667,0.598798,matched
95,3.166667,66,2.2,0.649399,matched
96,3.2,66,2.2,0.7,matched
97,3.233333,67,2.233333,0.7,matched
98,3.266667,67,2.233333,0.7,matched
99,3.3,68,2.266667,0.7,matched
100,3.333333,68,2.266667,0.7,matched
101,3.366667,69,2.3,0.7,matched
102,3.4,69,2.3,0.7,matched
103,3.433333,70,2.333333,0.7,matched
104,3.466667,70,2.333333,0.7,matched
105,3.5,71,2.366667,0.7,matched
106,3.533333,71,2.366667,0.7,matched
107,3.566667,72,2.4,0.7,matched
108,3.6,72,2.4,0.7,matched
109,3.633333,73,2.433333,0.672881,matched
110,3.666667,73,2.433333,0.645762,matched
111,3.7,74,2.466667,0.618642,matched
112,3.733333,74,2.466667,0.591523,matched
113,3.766667,75,2.5,0.564404,matched
114,3.8,75,2.5,0.537285,matched
115,3.833333,76,2.533333,0.510166,matched
116,3.866667,76,2.533333,0.483047,matched
117,3.9,76,2.533333,0.455927,matched
118,3.933333,77,2.566667,0.428808,matched
119,3.966667,77,2.566667,0.401689,matched
120,4.0,78,2.6,0.37457,matched
121,4.033333,78,2.6,0.37882,matched
122,4.066667,79,2.633333,0.383069,matched
123,4.1,79,2.633333,0.387319,matched
124,4.133333,80,2.666667,0.391568,matched
125,4.166667,80,2.666667,0.395818,matched
126,4.2,81,2.7,0.400068,matched
127,4.233333,81,2.7,0.404317,matched
128,4.266667,82,2.733333,0.408567,matched
129,4.3,82,2.733333,0.412816,matched
130,4.333333,83,2.766667,0.417066,matched
131,4.366667,83,2.766667,0.421315,matched
132,4.4,84,2.8,0.425565,matched
133,4.433333,86,2.866667,0.366133,matched
134,4.466667,88,2.933333,0.306701,review
135,4.5,90,3.0,0.24727,review
136,4.533333,92,3.066667,0.187838,review
137,4.566667,94,3.133333,0.128406,review
138,4.6,96,3.2,0.068974,review
139,4.633333,98,3.266667,0.113195,review
140,4.666667,100,3.333333,0.157417,review
141,4.7,102,3.4,0.201638,review
142,4.733333,104,3.466667,0.245859,review
143,4.766667,106,3.533333,0.29008,review
144,4.8,108,3.6,0.334302,review
145,4.833333,110,3.666667,0.323402,review
146,4.866667,112,3.733333,0.312502,review
147,4.9,114,3.8,0.301602,review
148,4.933333,116,3.866667,0.290702,review
149,4.966667,118,3.933333,0.279802,review
150,5.0,120,4.0,0.268902,review
151,5.033333,122,4.066667,0.271384,review
152,5.066667,124,4.133333,0.273865,review
153,5.1,126,4.2,0.276347,review
154,5.133333,128,4.266667,0.278829,review
155,5.166667,130,4.333333,0.28131,review
156,5.2,132,4.4,0.283792,review
157,5.233333,134,4.466667,0.273021,review
158,5.266667,136,4.533333,0.262249,review
159,5.3,138,4.6,0.251478,review
160,5.333333,140,4.666667,0.240707,review
161,5.366667,142,4.733333,0.229935,review
162,5.4,144,4.8,0.219164,review
163,5.433333,145,4.833333,0.241373,review
164,5.466667,145,4.833333,0.263582,review
165,5.5,146,4.866667,0.285791,review
166,5.533333,146,4.866667,0.308,review
167,5.566667,147,4.9,0.330209,review
168,5.6,147,4.9,0.352418,matched
169,5.633333,148,4.933333,0.374627,matched
170,5.666667,148,4.933333,0.396836,matched
171,5.7,148,4.933333,0.419045,matched
172,5.733333,149,4.966667,0.441254,matched
173,5.766667,149,4.966667,0.463463,matched
174,5.8,150,5.0,0.485672,matched
175,5.833333,152,5.066667,0.477411,matched
176,5.866667,154,5.133333,0.46915,matched
177,5.9,156,5.2,0.460889,matched
178,5.933333,158,5.266667,0.452628,matched
179,5.966667,160,5.333333,0.444367,matched
180,6.0,162,5.4,0.436106,matched
181,6.033333,163,5.433333,0.441748,matched
182,6.066667,163,5.433333,0.447391,matched
183,6.1,164,5.466667,0.453033,matched
184,6.133333,164,5.466667,0.458675,matched
185,6.166667,164,5.466667,0.464318,matched
186,6.2,165,5.5,0.46996,matched
187,6.233333,165,5.5,0.475602,matched
188,6.266667,166,5.533333,0.481245,matched
189,6.3,166,5.533333,0.486887,matched
190,6.333333,167,5.566667,0.492529,matched
191,6.366667,167,5.566667,0.498172,matched
192,6.4,168,5.6,0.503814,matched
193,6.433333,170,5.666667,0.47447,matched
194,6.466667,172,5.733333,0.445125,matched
195,6.5,174,5.8,0.41578,matched
196,6.533333,176,5.866667,0.386436,matched
197,6.566667,178,5.933333,0.357091,matched
198,6.6,180,6.0,0.327747,review
199,6.633333,181,6.033333,0.35486,matched
200,6.666667,181,6.033333,0.381972,matched
201,6.7,181,6.033333,0.409085,matched
202,6.733333,182,6.066667,0.436197,matched
203,6.766667,182,6.066667,0.46331,matched
204,6.8,183,6.1,0.490423,matched
205,6.833333,183,6.1,0.517535,matched
206,6.866667,184,6.133333,0.544648,matched
207,6.9,184,6.133333,0.57176,matched
208,6.933333,185,6.166667,0.598873,matched
209,6.966667,185,6.166667,0.625985,matched
210,7.0,186,6.2,0.653098,matched
211,7.033333,186,6.2,0.62482,matched
212,7.066667,187,6.233333,0.596543,matched
213,7.1,187,6.233333,0.568266,matched
214,7.133333,188,6.266667,0.539988,matched
215,7.166667,188,6.266667,0.511711,matched
216,7.2,189,6.3,0.483433,matched
217,7.233333,189,6.3,0.455156,matched
218,7.266667,190,6.333333,0.426878,matched
219,7.3,190,6.333333,0.398601,matched
220,7.333333,191,6.366667,0.370323,matched
221,7.366667,192,6.4,0.342046,review
222,7.4,192,6.4,0.313768,review
223,7.433333,193,6.433333,0.345954,review
224,7.466667,193,6.433333,0.37814,matched
225,7.5,193,6.433333,0.410326,matched
226,7.533333,194,6.466667,0.442512,matched
227,7.566667,194,6.466667,0.474698,matched
228,7.6,195,6.5,0.506884,matched
229,7.633333,195,6.5,0.53907,matched
230,7.666667,196,6.533333,0.571256,matched
231,7.7,196,6.533333,0.603442,matched
232,7.733333,197,6.566667,0.635628,matched
233,7.766667,197,6.566667,0.667814,matched
234,7.8,198,6.6,0.7,matched
235,7.833333,200,6.666667,0.67274,matched
236,7.866667,202,6.733333,0.645479,matched
237,7.9,204,6.8,0.618219,matched
238,7.933333,206,6.866667,0.590959,matched
239,7.966667,208,6.933333,0.563698,matched
240,8.0,210,7.0,0.536438,matched
241,8.033333,210,7.0,0.500888,matched
242,8.066667,211,7.033333,0.465338,matched
243,8.1,212,7.066667,0.429789,matched
244,8.133333,212,7.066667,0.394239,matched
245,8.166667,212,7.066667,0.358689,matched
246,8.2,213,7.1,0.323139,review
247,8.233333,214,7.133333,0.28759,review
248,8.266667,214,7.133333,0.25204,review
249,8.3,214,7.133333,0.21649,review
250,8.333333,215,7.166667,0.18094,review
251,8.366667,216,7.2,0.14539,review
252,8.4,216,7.2,0.109841,review
253,8.433333,216,7.2,0.13935,review
254,8.466667,217,7.233333,0.16886,review
255,8.5,218,7.266667,0.198369,review
256,8.533333,218,7.266667,0.227878,review
257,8.566667,218,7.266667,0.257387,review
258,8.6,219,7.3,0.286896,review
259,8.633333,220,7.333333,0.316405,review
260,8.666667,220,7.333333,0.345914,review
261,8.7,220,7.333333,0.375423,matched
262,8.733333,221,7.366667,0.404933,matched
263,8.766667,222,7.4,0.434442,matched
264,8.8,222,7.4,0.463951,matched
265,8.833333,224,7.466667,0.410115,matched
266,8.866667,226,7.533333,0.356279,matched
267,8.9,228,7.6,0.302443,review
268,8.933333,230,7.666667,0.248606,review
269,8.966667,232,7.733333,0.19477,review
270,9.0,234,7.8,0.140934,review
271,9.033333,235,7.833333,0.138148,review
272,9.066667,235,7.833333,0.135361,review
273,9.1,236,7.866667,0.132574,review
274,9.133333,236,7.866667,0.129788,review
275,9.166667,237,7.9,0.127001,review
276,9.2,237,7.9,0.124215,review
277,9.233333,238,7.933333,0.121428,review
278,9.266667,238,7.933333,0.118642,review
279,9.3,239,7.966667,0.115855,review
280,9.333333,239,7.966667,0.113069,review
281,9.366667,240,8.0,0.110282,review
282,9.4,240,8.0,0.107496,review
283,9.433333,241,8.033333,0.109004,review
284,9.466667,241,8.033333,0.110513,review
285,9.5,242,8.066667,0.112021,review
286,9.533333,242,8.066667,0.113529,review
287,9.566667,242,8.066667,0.115037,review
288,9.6,243,8.1,0.116546,review
289,9.633333,243,8.1,0.118054,review
290,9.666667,244,8.133333,0.119562,review
291,9.7,244,8.133333,0.12107,review
292,9.733333,245,8.166667,0.122578,review
293,9.766667,245,8.166667,0.124087,review
294,9.8,246,8.2,0.125595,review
295,9.833333,246,8.2,0.126131,review
296,9.866667,247,8.233333,0.126666,review
297,9.9,247,8.233333,0.127202,review
298,9.933333,248,8.266667,0.127737,review
299,9.966667,248,8.266667,0.128273,review
300,10.0,249,8.3,0.128808,review
301,10.033333,249,8.3,0.129344,review
302,10.066667,250,8.333333,0.12988,review
303,10.1,250,8.333333,0.130415,review
304,10.133333,251,8.366667,0.130951,review
305,10.166667,251,8.366667,0.131486,review
306,10.2,252,8.4,0.132022,review
307,10.233333,252,8.4,0.140743,review
308,10.266667,253,8.433333,0.149465,review
309,10.3,253,8.433333,0.158186,review
310,10.333333,254,8.466667,0.166907,review
311,10.366667,254,8.466667,0.175628,review
312,10.4,255,8.5,0.184349,review
313,10.433333,255,8.5,0.193071,review
314,10.466667,256,8.533333,0.201792,review
315,10.5,257,8.566667,0.210513,review
316,10.533333,257,8.566667,0.219234,review
317,10.566667,258,8.6,0.227956,review
318,10.6,258,8.6,0.236677,review
319,10.633333,259,8.633333,0.241554,review
320,10.666667,259,8.633333,0.246431,review
321,10.7,260,8.666667,0.251308,review
322,10.733333,260,8.666667,0.256185,review
323,10.766667,261,8.7,0.261062,review
324,10.8,261,8.7,0.265939,review
325,10.833333,262,8.733333,0.270817,review
326,10.866667,262,8.733333,0.275694,review
327,10.9,263,8.766667,0.280571,review
328,10.933333,263,8.766667,0.285448,review
329,10.966667,264,8.8,0.290325,review
330,11.0,264,8.8,0.295202,review
331,11.033333,265,8.833333,0.288949,review
332,11.066667,265,8.833333,0.282695,review
333,11.1,266,8.866667,0.276442,review
