day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.556365,matched
1,0.033333,1,0.033333,0.545877,matched
2,0.066667,2,0.066667,0.535389,matched
3,0.1,3,0.1,0.524901,matched
4,0.133333,4,0.133333,0.514413,matched
5,0.166667,5,0.166667,0.503925,matched
6,0.2,6,0.2,0.493437,matched
7,0.233333,8,0.266667,0.491394,matched
8,0.266667,10,0.333333,0.48935,matched
9,0.3,12,0.4,0.487307,matched
10,0.333333,14,0.466667,0.485264,matched
11,0.366667,16,0.533333,0.48322,matched
12,0.4,18,0.6,0.481177,matched
13,0.433333,20,0.666667,0.481993,matched
14,0.466667,22,0.733333,0.482808,matched
15,0.5,24,0.8,0.483624,matched
16,0.533333,26,0.866667,0.484439,matched
17,0.566667,28,0.933333,0.485255,matched
18,0.6,30,1.0,0.48607,matched
19,0.633333,32,1.066667,0.475882,matched
20,0.666667,34,1.133333,0.465694,matched
21,0.7,36,1.2,0.455506,matched
22,0.733333,38,1.266667,0.445318,matched
23,0.766667,40,1.333333,0.43513,matched
24,0.8,42,1.4,0.424942,matched
25,0.833333,44,1.466667,0.468117,matched
26,0.866667,46,1.533333,0.511292,matched
27,0.9,48,1.6,0.554467,matched
28,0.933333,50,1.666667,0.597642,matched
29,0.966667,52,1.733333,0.640817,matched
30,1.0,54,1.8,0.683992,matched
31,1.033333,56,1.866667,0.668883,matched
32,1.066667,58,1.933333,0.653773,matched
33,1.1,60,2.0,0.638664,matched
34,1.133333,62,2.066667,0.623555,matched
35,1.166667,64,2.133333,0.608445,matched
36,1.2,66,2.2,0.593336,matched
37,1.233333,68,2.266667,0.592177,matched
38,1.266667,70,2.333333,0.591018,matched
39,1.3,72,2.4,0.589859,matched
40,1.333333,74,2.466667,0.588699,matched
41,1.366667,76,2.533333,0.58754,matched
42,1.4,78,2.6,0.586381,matched
43,1.433333,80,2.666667,0.601629,matched
44,1.466667,82,2.733333,0.616877,matched
45,1.5,84,2.8,0.632125,matched
46,1.533333,86,2.866667,0.647372,matched
47,1.566667,88,2.933333,0.66262,matched
48,1.6,90,3.0,0.677868,matched
49,1.633333,92,3.066667,0.689513,matched
50,1.666667,94,3.133333,0.701158,matched
51,1.7,96,3.2,0.712803,matched
52,1.733333,98,3.266667,0.724447,matched
53,1.766667,100,3.333333,0.736092,matched
54,1.8,102,3.4,0.747737,matched
55,1.833333,104,3.466667,0.695331,matched
56,1.866667,106,3.533333,0.642926,matched
57,1.9,108,3.6,0.59052,matched
58,1.933333,110,3.666667,0.538115,matched
59,1.966667,112,3.733333,0.485709,matched
60,2.0,114,3.8,0.433304,matched
61,2.033333,116,3.866667,0.495562,matched
62,2.066667,118,3.933333,0.55782,matched
63,2.1,120,4.0,0.620077,matched
64,2.133333,122,4.066667,0.682335,matched
65,2.166667,124,4.133333,0.744593,matched
66,2.2,126,4.2,0.806851,matched
67,2.233333,128,4.266667,0.789043,matched
68,2.266667,130,4.333333,0.771234,matched
69,2.3,132,4.4,0.753426,matched
70,2.333333,134,4.466667,0.735617,matched
71,2.366667,136,4.533333,0.717809,matched
72,2.4,138,4.6,0.7,matched
73,2.433333,138,4.6,0.693304,matched
74,2.466667,139,4.633333,0.686608,matched
75,2.5,139,4.633333,0.679913,matched
76,2.533333,140,4.666667,0.673217,matched
77,2.566667,141,4.7,0.666521,matched
78,2.6,141,4.7,0.659825,matched
79,2.633333,142,4.733333,0.653129,matched
80,2.666667,142,4.733333,0.646433,matched
81,2.7,143,4.766667,0.639737,matched
82,2.733333,143,4.766667,0.633042,matched
83,2.766667,144,4.8,0.626346,matched
84,2.8,144,4.8,0.61965,matched
85,2.833333,145,4.833333,0.626346,matched
86,2.866667,145,4.833333,0.633042,matched
87,2.9,146,4.866667,0.639738,matched
88,2.933333,146,4.866667,0.646433,matched
89,2.966667,147,4.9,0.653129,matched
90,3.0,147,4.9,0.659825,matched
91,3.033333,148,4.933333,0.666521,matched
92,3.066667,148,4.933333,0.673217,matched
93,3.1,149,4.966667,0.679912,matched
94,3.133333,149,4.966667,0.686608,matched
95,3.166667,149,4.966667,0.693304,matched
96,3.2,150,5.0,0.7,matched
97,3.233333,152,5.066667,0.679993,matched
98,3.266667,154,5.133333,0.659986,matched
99,3.3,156,5.2,0.63998,matched
100,3.333333,158,5.266667,0.619973,matched
101,3.366667,160,5.333333,0.599966,matched
102,3.4,162,5.4,0.579959,matched
103,3.433333,163,5.433333,0.60263,matched
104,3.466667,163,5.433333,0.6253,matched
105,3.5,164,5.466667,0.647971,matched
106,3.533333,164,5.466667,0.670641,matched
107,3.566667,164,5.466667,0.693312,matched
108,3.6,165,5.5,0.715982,matched
109,3.633333,165,5.5,0.738653,matched
110,3.666667,166,5.533333,0.761324,matched
111,3.7,166,5.533333,0.783994,matched
112,3.733333,167,5.566667,0.806665,matched
113,3.766667,167,5.566667,0.829335,matched
114,3.8,168,5.6,0.852006,matched
115,3.833333,168,5.6,0.848105,matched
116,3.866667,169,5.633333,0.844205,matched
117,3.9,170,5.666667,0.840304,matched
118,3.933333,170,5.666667,0.836403,matched
119,3.966667,171,5.7,0.832502,matched
120,4.0,171,5.7,0.828601,matched
121,4.033333,172,5.733333,0.824701,matched
122,4.066667,172,5.733333,0.8208,matched
123,4.1,173,5.766667,0.816899,matched
124,4.133333,173,5.766667,0.812998,matched
125,4.166667,174,5.8,0.809098,matched
126,4.2,174,5.8,0.805197,matched
127,4.233333,175,5.833333,0.800506,matched
128,4.266667,176,5.866667,0.795815,matched
129,4.3,177,5.9,0.791124,matched
130,4.333333,178,5.933333,0.786433,matched
131,4.366667,179,5.966667,0.781742,matched
132,4.4,180,6.0,0.777051,matched
133,4.433333,180,6.0,0.755726,matched
134,4.466667,181,6.033333,0.734401,matched
135,4.5,181,6.033333,0.713076,matched
136,4.533333,182,6.066667,0.691751,matched
137,4.566667,182,6.066667,0.670426,matched
138,4.6,183,6.1,0.649101,matched
139,4.633333,183,6.1,0.627776,matched
140,4.666667,184,6.133333,0.606451,matched
141,4.7,184,6.133333,0.585126,matched
142,4.733333,185,6.166667,0.563801,matched
143,4.766667,185,6.166667,0.542476,matched
144,4.8,186,6.2,0.521151,matched
145,4.833333,186,6.2,0.524672,matched
146,4.866667,187,6.233333,0.528193,matched
147,4.9,187,6.233333,0.531714,matched
148,4.933333,188,6.266667,0.535235,matched
149,4.966667,188,6.266667,0.538756,matched
150,5.0,189,6.3,0.542277,matched
151,5.033333,189,6.3,0.545797,matched
152,5.066667,190,6.333333,0.549318,matched
153,5.1,191,6.366667,0.552839,matched
154,5.133333,191,6.366667,0.55636,matched
155,5.166667,192,6.4,0.559881,matched
156,5.2,192,6.4,0.563402,matched
157,5.233333,193,6.433333,0.566502,matched
158,5.266667,193,6.433333,0.569602,matched
159,5.3,194,6.466667,0.572701,matched
160,5.333333,194,6.466667,0.575801,matched
161,5.366667,195,6.5,0.578901,matched
162,5.4,195,6.5,0.582001,matched
163,5.433333,196,6.533333,0.5851,matched
164,5.466667,196,6.533333,0.5882,matched
165,5.5,197,6.566667,0.5913,matched
166,5.533333,197,6.566667,0.5944,matched
167,5.566667,197,6.566667,0.597499,matched
168,5.6,198,6.6,0.600599,matched
169,5.633333,200,6.666667,0.604306,matched
170,5.666667,202,6.733333,0.608014,matched
171,5.7,204,6.8,0.611721,matched
172,5.733333,206,6.866667,0.615428,matched
173,5.766667,208,6.933333,0.619136,matched
174,5.8,210,7.0,0.622843,matched
175,5.833333,212,7.066667,0.61711,matched
176,5.866667,214,7.133333,0.611376,matched
177,5.9,216,7.2,0.605643,matched
178,5.933333,218,7.266667,0.599909,matched
179,5.966667,220,7.333333,0.594176,matched
180,6.0,222,7.4,0.588442,matched
181,6.033333,223,7.433333,0.584037,matched
182,6.066667,223,7.433333,0.579632,matched
