night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.556365,matched
1,0.033333,1,0.033333,0.545877,matched
2,0.066667,2,0.066667,0.535389,matched
3,0.1,3,0.1,0.524901,matched
4,0.133333,4,0.133333,0.514413,matched
5,0.166667,5,0.166667,0.503925,matched
6,0.2,6,0.2,0.493437,matched
7,0.233333,7,0.233333,0.492415,matched
8,0.266667,7,0.233333,0.491394,matched
9,0.3,7,0.233333,0.490372,matched
10,0.333333,8,0.266667,0.48935,matched
11,0.366667,8,0.266667,0.488329,matched
12,0.4,9,0.3,0.487307,matched
13,0.433333,9,0.3,0.486285,matched
14,0.466667,10,0.333333,0.485264,matched
15,0.5,10,0.333333,0.484242,matched
16,0.533333,11,0.366667,0.48322,matched
17,0.566667,11,0.366667,0.482199,matched
18,0.6,12,0.4,0.481177,matched
19,0.633333,12,0.4,0.481585,matched
20,0.666667,13,0.433333,0.481993,matched
21,0.7,14,0.466667,0.4824,matched
22,0.733333,14,0.466667,0.482808,matched
23,0.766667,15,0.5,0.483216,matched
24,0.8,15,0.5,0.483624,matched
25,0.833333,16,0.533333,0.484031,matched
26,0.866667,16,0.533333,0.484439,matched
27,0.9,17,0.566667,0.484847,matched
28,0.933333,17,0.566667,0.485255,matched
29,0.966667,18,0.6,0.485662,matched
30,1.0,18,0.6,0.48607,matched
31,1.033333,19,0.633333,0.480976,matched
32,1.066667,19,0.633333,0.475882,matched
33,1.1,20,0.666667,0.470788,matched
34,1.133333,20,0.666667,0.465694,matched
35,1.166667,21,0.7,0.4606,matched
36,1.2,21,0.7,0.455506,matched
37,1.233333,22,0.733333,0.450412,matched
38,1.266667,22,0.733333,0.445318,matched
39,1.3,23,0.766667,0.440224,matched
40,1.333333,23,0.766667,0.43513,matched
41,1.366667,24,0.8,0.430036,matched
42,1.4,24,0.8,0.424942,matched
43,1.433333,25,0.833333,0.44653,matched
44,1.466667,25,0.833333,0.468117,matched
45,1.5,26,0.866667,0.489705,matched
46,1.533333,26,0.866667,0.511292,matched
47,1.566667,27,0.9,0.53288,matched
48,1.6,27,0.9,0.554467,matched
49,1.633333,28,0.933333,0.576055,matched
50,1.666667,28,0.933333,0.597642,matched
51,1.7,29,0.966667,0.61923,matched
52,1.733333,29,0.966667,0.640817,matched
53,1.766667,30,1.0,0.662405,matched
54,1.8,30,1.0,0.683992,matched
55,1.833333,31,1.033333,0.676437,matched
56,1.866667,31,1.033333,0.668883,matched
57,1.9,32,1.066667,0.661328,matched
58,1.933333,32,1.066667,0.653773,matched
59,1.966667,33,1.1,0.646219,matched
60,2.0,33,1.1,0.638664,matched
61,2.033333,34,1.133333,0.631109,matched
62,2.066667,34,1.133333,0.623555,matched
63,2.1,35,1.166667,0.616,matched
64,2.133333,35,1.166667,0.608445,matched
65,2.166667,36,1.2,0.600891,matched
66,2.2,36,1.2,0.593336,matched
67,2.233333,37,1.233333,0.592756,matched
68,2.266667,37,1.233333,0.592177,matched
69,2.3,38,1.266667,0.591597,matched
70,2.333333,38,1.266667,0.591018,matched
71,2.366667,39,1.3,0.590438,matched
72,2.4,39,1.3,0.589859,matched
73,2.433333,40,1.333333,0.589279,matched
74,2.466667,40,1.333333,0.588699,matched
75,2.5,41,1.366667,0.58812,matched
76,2.533333,41,1.366667,0.58754,matched
77,2.566667,42,1.4,0.586961,matched
78,2.6,42,1.4,0.586381,matched
79,2.633333,43,1.433333,0.594005,matched
80,2.666667,43,1.433333,0.601629,matched
81,2.7,44,1.466667,0.609253,matched
82,2.733333,44,1.466667,0.616877,matched
83,2.766667,45,1.5,0.624501,matched
84,2.8,45,1.5,0.632125,matched
85,2.833333,46,1.533333,0.639748,matched
86,2.866667,46,1.533333,0.647372,matched
87,2.9,47,1.566667,0.654996,matched
88,2.933333,47,1.566667,0.66262,matched
89,2.966667,48,1.6,0.670244,matched
90,3.0,48,1.6,0.677868,matched
91,3.033333,49,1.633333,0.68369,matched
92,3.066667,49,1.633333,0.689513,matched
93,3.1,49,1.633333,0.695335,matched
94,3.133333,50,1.666667,0.701158,matched
95,3.166667,50,1.666667,0.70698,matched
96,3.2,51,1.7,0.712802,matched
97,3.233333,51,1.7,0.718625,matched
98,3.266667,52,1.733333,0.724447,matched
99,3.3,52,1.733333,0.73027,matched
100,3.333333,53,1.766667,0.736092,matched
101,3.366667,53,1.766667,0.741915,matched
102,3.4,54,1.8,0.747737,matched
103,3.433333,54,1.8,0.721534,matched
104,3.466667,55,1.833333,0.695332,matched
105,3.5,55,1.833333,0.669129,matched
106,3.533333,56,1.866667,0.642926,matched
107,3.566667,56,1.866667,0.616723,matched
108,3.6,57,1.9,0.590521,matched
109,3.633333,57,1.9,0.564318,matched
110,3.666667,58,1.933333,0.538115,matched
111,3.7,58,1.933333,0.511912,matched
112,3.733333,59,1.966667,0.485709,matched
113,3.766667,60,2.0,0.459507,matched
114,3.8,60,2.0,0.433304,matched
115,3.833333,61,2.033333,0.464433,matched
116,3.866667,61,2.033333,0.495562,matched
117,3.9,62,2.066667,0.526691,matched
118,3.933333,62,2.066667,0.55782,matched
119,3.966667,63,2.1,0.588949,matched
120,4.0,63,2.1,0.620078,matched
121,4.033333,64,2.133333,0.651207,matched
122,4.066667,64,2.133333,0.682335,matched
123,4.1,65,2.166667,0.713464,matched
124,4.133333,65,2.166667,0.744593,matched
125,4.166667,66,2.2,0.775722,matched
126,4.2,66,2.2,0.806851,matched
127,4.233333,67,2.233333,0.797947,matched
128,4.266667,67,2.233333,0.789042,matched
129,4.3,68,2.266667,0.780138,matched
130,4.333333,68,2.266667,0.771234,matched
131,4.366667,69,2.3,0.76233,matched
132,4.4,69,2.3,0.753425,matched
133,4.433333,70,2.333333,0.744521,matched
134,4.466667,70,2.333333,0.735617,matched
135,4.5,71,2.366667,0.726713,matched
136,4.533333,71,2.366667,0.717808,matched
137,4.566667,72,2.4,0.708904,matched
138,4.6,72,2.4,0.7,matched
139,4.633333,74,2.466667,0.686608,matched
140,4.666667,76,2.533333,0.673217,matched
141,4.7,78,2.6,0.659825,matched
142,4.733333,80,2.666667,0.646433,matched
143,4.766667,82,2.733333,0.633042,matched
144,4.8,84,2.8,0.61965,matched
145,4.833333,86,2.866667,0.633042,matched
146,4.866667,88,2.933333,0.646433,matched
147,4.9,90,3.0,0.659825,matched
148,4.933333,92,3.066667,0.673217,matched
149,4.966667,94,3.133333,0.686608,matched
150,5.0,96,3.2,0.7,matched
151,5.033333,97,3.233333,0.689997,matched
152,5.066667,97,3.233333,0.679993,matched
153,5.1,98,3.266667,0.66999,matched
154,5.133333,98,3.266667,0.659986,matched
155,5.166667,99,3.3,0.649983,matched
156,5.2,99,3.3,0.639979,matched
157,5.233333,100,3.333333,0.629976,matched
158,5.266667,100,3.333333,0.619973,matched
159,5.3,101,3.366667,0.609969,matched
160,5.333333,101,3.366667,0.599966,matched
161,5.366667,102,3.4,0.589962,matched
162,5.4,102,3.4,0.579959,matched
163,5.433333,104,3.466667,0.6253,matched
164,5.466667,106,3.533333,0.670641,matched
165,5.5,108,3.6,0.715982,matched
166,5.533333,110,3.666667,0.761324,matched
167,5.566667,112,3.733333,0.806665,matched
168,5.6,114,3.8,0.852006,matched
169,5.633333,116,3.866667,0.844205,matched
170,5.666667,118,3.933333,0.836403,matched
171,5.7,120,4.0,0.828602,matched
172,5.733333,122,4.066667,0.8208,matched
173,5.766667,124,4.133333,0.812999,matched
174,5.8,126,4.2,0.805197,matched
175,5.833333,127,4.233333,0.800506,matched
176,5.866667,128,4.266667,0.795815,matched
177,5.9,129,4.3,0.791124,matched
178,5.933333,130,4.333333,0.786433,matched
179,5.966667,131,4.366667,0.781742,matched
180,6.0,132,4.4,0.777051,matched
181,6.033333,134,4.466667,0.734401,matched
182,6.066667,136,4.533333,0.691751,matched
