night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,24,0.8,0.0,review
1,0.033333,25,0.833333,0.020547,review
2,0.066667,25,0.833333,0.041094,review
3,0.1,26,0.866667,0.061641,review
4,0.133333,26,0.866667,0.082188,review
5,0.166667,27,0.9,0.102735,review
6,0.2,27,0.9,0.123281,review
7,0.233333,28,0.933333,0.143828,review
8,0.266667,28,0.933333,0.164375,review
9,0.3,29,0.966667,0.184922,review
10,0.333333,29,0.966667,0.205469,review
11,0.366667,29,0.966667,0.226016,review
12,0.4,30,1.0,0.246563,review
13,0.433333,32,1.066667,0.265807,review
14,0.466667,34,1.133333,0.285052,review
15,0.5,36,1.2,0.304296,review
16,0.533333,38,1.266667,0.323541,review
17,0.566667,40,1.333333,0.342785,review
18,0.6,42,1.4,0.36203,matched
19,0.633333,42,1.4,0.36165,matched
20,0.666667,43,1.433333,0.361271,matched
21,0.7,43,1.433333,0.360891,matched
22,0.733333,44,1.466667,0.360512,matched
23,0.766667,44,1.466667,0.360132,matched
24,0.8,45,1.5,0.359753,matched
25,0.833333,45,1.5,0.359373,matched
26,0.866667,46,1.533333,0.358993,matched
27,0.9,47,1.566667,0.358614,matched
28,0.933333,47,1.566667,0.358234,matched
29,0.966667,48,1.6,0.357855,matched
30,1.0,48,1.6,0.357475,matched
31,1.033333,50,1.666667,0.328456,review
32,1.066667,52,1.733333,0.299437,review
33,1.1,54,1.8,0.270419,review
34,1.133333,56,1.866667,0.2414,review
35,1.166667,58,1.933333,0.212381,review
36,1.2,60,2.0,0.183362,review
37,1.233333,62,2.066667,0.19795,review
38,1.266667,64,2.133333,0.212539,review
39,1.3,66,2.2,0.227127,review
40,1.333333,68,2.266667,0.241715,review
41,1.366667,70,2.333333,0.256304,review
42,1.4,72,2.4,0.270892,review
43,1.433333,74,2.466667,0.291151,review
44,1.466667,76,2.533333,0.311409,review
45,1.5,78,2.6,0.331667,review
46,1.533333,80,2.666667,0.351926,matched
47,1.566667,82,2.733333,0.372184,matched
48,1.6,84,2.8,0.392443,matched
49,1.633333,86,2.866667,0.420926,matched
50,1.666667,88,2.933333,0.449409,matched
51,1.7,90,3.0,0.477892,matched
52,1.733333,92,3.066667,0.506374,matched
53,1.766667,94,3.133333,0.534857,matched
54,1.8,96,3.2,0.56334,matched
55,1.833333,98,3.266667,0.586117,matched
56,1.866667,100,3.333333,0.608893,matched
57,1.9,102,3.4,0.63167,matched
58,1.933333,104,3.466667,0.654447,matched
59,1.966667,106,3.533333,0.677223,matched
60,2.0,108,3.6,0.7,matched
61,2.033333,108,3.6,0.7,matched
