day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.223104,review
1,0.033333,0,0.0,0.226895,review
2,0.066667,1,0.033333,0.230686,review
3,0.1,2,0.066667,0.234477,review
4,0.133333,2,0.066667,0.238268,review
5,0.166667,2,0.066667,0.242059,review
6,0.2,3,0.1,0.24585,review
7,0.233333,4,0.133333,0.24964,review
8,0.266667,4,0.133333,0.253431,review
9,0.3,4,0.133333,0.257222,review
10,0.333333,5,0.166667,0.261013,review
11,0.366667,6,0.2,0.264804,review
12,0.4,6,0.2,0.268595,review
13,0.433333,6,0.2,0.292354,review
14,0.466667,7,0.233333,0.316113,review
15,0.5,8,0.266667,0.339872,review
16,0.533333,8,0.266667,0.363631,matched
17,0.566667,8,0.266667,0.38739,matched
18,0.6,9,0.3,0.411149,matched
19,0.633333,10,0.333333,0.434908,matched
20,0.666667,10,0.333333,0.458667,matched
21,0.7,10,0.333333,0.482426,matched
22,0.733333,11,0.366667,0.506185,matched
23,0.766667,12,0.4,0.529944,matched
24,0.8,12,0.4,0.553703,matched
25,0.833333,14,0.466667,0.568616,matched
26,0.866667,16,0.533333,0.583529,matched
27,0.9,18,0.6,0.598442,matched
28,0.933333,20,0.666667,0.613355,matched
29,0.966667,22,0.733333,0.628268,matched
30,1.0,24,0.8,0.643181,matched
31,1.033333,26,0.866667,0.652651,matched
32,1.066667,28,0.933333,0.662121,matched
33,1.1,30,1.0,0.671591,matched
34,1.133333,32,1.066667,0.68106,matched
35,1.166667,34,1.133333,0.69053,matched
36,1.2,36,1.2,0.7,matched
37,1.233333,38,1.266667,0.668554,matched
38,1.266667,40,1.333333,0.637108,matched
39,1.3,42,1.4,0.605662,matched
40,1.333333,44,1.466667,0.574216,matched
41,1.366667,46,1.533333,0.54277,matched
42,1.4,48,1.6,0.511324,matched
43,1.433333,50,1.666667,0.54277,matched
44,1.466667,52,1.733333,0.574216,matched
45,1.5,54,1.8,0.605662,matched
46,1.533333,56,1.866667,0.637108,matched
47,1.566667,58,1.933333,0.668554,matched
48,1.6,60,2.0,0.7,matched
49,1.633333,62,2.066667,0.668687,matched
50,1.666667,64,2.133333,0.637373,matched
51,1.7,66,2.2,0.606059,matched
52,1.733333,68,2.266667,0.574746,matched
53,1.766667,70,2.333333,0.543432,matched
54,1.8,72,2.4,0.512119,matched
55,1.833333,73,2.433333,0.527776,matched
56,1.866667,73,2.433333,0.543433,matched
57,1.9,74,2.466667,0.559089,matched
58,1.933333,74,2.466667,0.574746,matched
59,1.966667,75,2.5,0.590403,matched
60,2.0,75,2.5,0.606059,matched
61,2.033333,75,2.5,0.621716,matched
62,2.066667,76,2.533333,0.637373,matched
63,2.1,76,2.533333,0.65303,matched
64,2.133333,77,2.566667,0.668686,matched
65,2.166667,77,2.566667,0.684343,matched
66,2.2,78,2.6,0.7,matched
67,2.233333,78,2.6,0.669962,matched
68,2.266667,79,2.633333,0.639924,matched
69,2.3,79,2.633333,0.609885,matched
70,2.333333,80,2.666667,0.579847,matched
71,2.366667,80,2.666667,0.549809,matched
72,2.4,81,2.7,0.51977,matched
73,2.433333,81,2.7,0.489732,matched
74,2.466667,82,2.733333,0.459694,matched
75,2.5,82,2.733333,0.429656,matched
76,2.533333,83,2.766667,0.399617,matched
77,2.566667,83,2.766667,0.369579,matched
78,2.6,84,2.8,0.339541,review
79,2.633333,84,2.8,0.369579,matched
80,2.666667,85,2.833333,0.399618,matched
81,2.7,86,2.866667,0.429656,matched
82,2.733333,86,2.866667,0.459694,matched
83,2.766667,86,2.866667,0.489732,matched
84,2.8,87,2.9,0.519771,matched
85,2.833333,88,2.933333,0.549809,matched
86,2.866667,88,2.933333,0.579847,matched
87,2.9,88,2.933333,0.609885,matched
88,2.933333,89,2.966667,0.639924,matched
89,2.966667,90,3.0,0.669962,matched
90,3.0,90,3.0,0.7,matched
91,3.033333,92,3.066667,0.646353,matched
92,3.066667,94,3.133333,0.592705,matched
93,3.1,96,3.2,0.539058,matched
94,3.133333,98,3.266667,0.48541,matched
95,3.166667,100,3.333333,0.431763,matched
96,3.2,102,3.4,0.378115,matched
97,3.233333,104,3.466667,0.404036,matched
98,3.266667,106,3.533333,0.429958,matched
99,3.3,108,3.6,0.455879,matched
100,3.333333,110,3.666667,0.481801,matched
101,3.366667,112,3.733333,0.507722,matched
102,3.4,114,3.8,0.533644,matched
103,3.433333,114,3.8,0.546539,matched
104,3.466667,115,3.833333,0.559433,matched
105,3.5,115,3.833333,0.572328,matched
106,3.533333,116,3.866667,0.585223,matched
107,3.566667,116,3.866667,0.598118,matched
108,3.6,117,3.9,0.611013,matched
109,3.633333,117,3.9,0.623907,matched
110,3.666667,118,3.933333,0.636802,matched
111,3.7,118,3.933333,0.649697,matched
112,3.733333,119,3.966667,0.662592,matched
113,3.766667,120,4.0,0.675486,matched
114,3.8,120,4.0,0.688381,matched
115,3.833333,121,4.033333,0.656029,matched
116,3.866667,121,4.033333,0.623677,matched
117,3.9,121,4.033333,0.591325,matched
118,3.933333,122,4.066667,0.558973,matched
119,3.966667,122,4.066667,0.526621,matched
120,4.0,123,4.1,0.494269,matched
121,4.033333,123,4.1,0.461917,matched
122,4.066667,124,4.133333,0.429565,matched
123,4.1,124,4.133333,0.397213,matched
124,4.133333,125,4.166667,0.364861,matched
125,4.166667,125,4.166667,0.332509,review
126,4.2,126,4.2,0.300157,review
127,4.233333,128,4.266667,0.28875,review
128,4.266667,130,4.333333,0.277344,review
129,4.3,132,4.4,0.265937,review
130,4.333333,134,4.466667,0.25453,review
131,4.366667,136,4.533333,0.243124,review
132,4.4,138,4.6,0.231717,review
133,4.433333,140,4.666667,0.27061,review
134,4.466667,142,4.733333,0.309504,review
135,4.5,144,4.8,0.348397,review
136,4.533333,146,4.866667,0.38729,matched
137,4.566667,148,4.933333,0.426184,matched
138,4.6,150,5.0,0.465077,matched
139,4.633333,151,5.033333,0.462303,matched
140,4.666667,151,5.033333,0.459529,matched
141,4.7,151,5.033333,0.456755,matched
142,4.733333,152,5.066667,0.45398,matched
143,4.766667,152,5.066667,0.451206,matched
144,4.8,153,5.1,0.448432,matched
145,4.833333,153,5.1,0.445658,matched
146,4.866667,154,5.133333,0.442884,matched
147,4.9,154,5.133333,0.44011,matched
148,4.933333,155,5.166667,0.437335,matched
149,4.966667,155,5.166667,0.434561,matched
150,5.0,156,5.2,0.431787,matched
151,5.033333,156,5.2,0.445304,matched
152,5.066667,157,5.233333,0.45882,matched
153,5.1,157,5.233333,0.472337,matched
154,5.133333,158,5.266667,0.485853,matched
155,5.166667,158,5.266667,0.49937,matched
156,5.2,159,5.3,0.512886,matched
157,5.233333,159,5.3,0.526403,matched
158,5.266667,160,5.333333,0.53992,matched
159,5.3,160,5.333333,0.553436,matched
160,5.333333,161,5.366667,0.566953,matched
161,5.366667,162,5.4,0.580469,matched
162,5.4,162,5.4,0.593986,matched
163,5.433333,163,5.433333,0.60282,matched
164,5.466667,163,5.433333,0.611655,matched
165,5.5,163,5.433333,0.620489,matched
166,5.533333,164,5.466667,0.629324,matched
167,5.566667,164,5.466667,0.638158,matched
168,5.6,165,5.5,0.646993,matched
169,5.633333,165,5.5,0.655827,matched
170,5.666667,166,5.533333,0.664662,matched
171,5.7,166,5.533333,0.673496,matched
172,5.733333,167,5.566667,0.682331,matched
173,5.766667,167,5.566667,0.691165,matched
174,5.8,168,5.6,0.7,matched
175,5.833333,170,5.666667,0.7,matched
176,5.866667,172,5.733333,0.7,matched
177,5.9,174,5.8,0.7,matched
178,5.933333,176,5.866667,0.7,matched
179,5.966667,178,5.933333,0.7,matched
180,6.0,180,6.0,0.7,matched
181,6.033333,180,6.0,0.699842,matched
182,6.066667,181,6.033333,0.699685,matched
183,6.1,181,6.033333,0.699527,matched
184,6.133333,182,6.066667,0.699369,matched
185,6.166667,182,6.066667,0.699212,matched
186,6.2,183,6.1,0.699054,matched
187,6.233333,183,6.1,0.698896,matched
188,6.266667,184,6.133333,0.698739,matched
189,6.3,184,6.133333,0.698581,matched
190,6.333333,185,6.166667,0.698423,matched
191,6.366667,185,6.166667,0.698266,matched
192,6.4,186,6.2,0.698108,matched
193,6.433333,188,6.266667,0.698423,matched
194,6.466667,190,6.333333,0.698739,matched
195,6.5,192,6.4,0.699054,matched
196,6.533333,194,6.466667,0.699369,matched
197,6.566667,196,6.533333,0.699685,matched
198,6.6,198,6.6,0.7,matched
199,6.633333,198,6.6,0.694382,matched
200,6.666667,199,6.633333,0.688764,matched
201,6.7,200,6.666667,0.683146,matched
202,6.733333,200,6.666667,0.677528,matched
203,6.766667,201,6.7,0.67191,matched
204,6.8,201,6.7,0.666292,matched
205,6.833333,202,6.733333,0.660675,matched
206,6.866667,202,6.733333,0.655057,matched
207,6.9,203,6.766667,0.649439,matched
208,6.933333,203,6.766667,0.643821,matched
209,6.966667,204,6.8,0.638203,matched
210,7.0,204,6.8,0.632585,matched
211,7.033333,206,6.866667,0.587421,matched
212,7.066667,208,6.933333,0.542257,matched
213,7.1,210,7.0,0.497092,matched
214,7.133333,212,7.066667,0.451928,matched
215,7.166667,214,7.133333,0.406764,matched
216,7.2,216,7.2,0.3616,matched
217,7.233333,218,7.266667,0.367467,matched
218,7.266667,220,7.333333,0.373333,matched
219,7.3,222,7.4,0.3792,matched
220,7.333333,224,7.466667,0.385066,matched
221,7.366667,226,7.533333,0.390932,matched
222,7.4,228,7.6,0.396799,matched
223,7.433333,230,7.666667,0.447332,matched
224,7.466667,232,7.733333,0.497866,matched
225,7.5,234,7.8,0.548399,matched
226,7.533333,236,7.866667,0.598933,matched
227,7.566667,238,7.933333,0.649467,matched
228,7.6,240,8.0,0.7,matched
229,7.633333,242,8.066667,0.695087,matched
230,7.666667,244,8.133333,0.690175,matched
231,7.7,246,8.2,0.685262,matched
232,7.733333,248,8.266667,0.680349,matched
233,7.766667,250,8.333333,0.675437,matched
234,7.8,252,8.4,0.670524,matched
235,7.833333,252,8.4,0.67298,matched
236,7.866667,253,8.433333,0.675437,matched
