night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.223104,review
1,0.033333,2,0.066667,0.230686,review
2,0.066667,4,0.133333,0.238268,review
3,0.1,6,0.2,0.24585,review
4,0.133333,8,0.266667,0.253431,review
5,0.166667,10,0.333333,0.261013,review
6,0.2,12,0.4,0.268595,review
7,0.233333,14,0.466667,0.316113,review
8,0.266667,16,0.533333,0.363631,matched
9,0.3,18,0.6,0.411149,matched
10,0.333333,20,0.666667,0.458667,matched
11,0.366667,22,0.733333,0.506185,matched
12,0.4,24,0.8,0.553703,matched
13,0.433333,25,0.833333,0.56116,matched
14,0.466667,25,0.833333,0.568616,matched
15,0.5,26,0.866667,0.576073,matched
16,0.533333,26,0.866667,0.583529,matched
17,0.566667,27,0.9,0.590986,matched
18,0.6,27,0.9,0.598442,matched
19,0.633333,28,0.933333,0.605899,matched
20,0.666667,28,0.933333,0.613355,matched
21,0.7,28,0.933333,0.620812,matched
22,0.733333,29,0.966667,0.628268,matched
23,0.766667,29,0.966667,0.635725,matched
24,0.8,30,1.0,0.643181,matched
25,0.833333,30,1.0,0.647916,matched
26,0.866667,31,1.033333,0.652651,matched
27,0.9,32,1.066667,0.657386,matched
28,0.933333,32,1.066667,0.662121,matched
29,0.966667,33,1.1,0.666856,matched
30,1.0,33,1.1,0.671591,matched
31,1.033333,34,1.133333,0.676325,matched
32,1.066667,34,1.133333,0.68106,matched
33,1.1,35,1.166667,0.685795,matched
34,1.133333,35,1.166667,0.69053,matched
35,1.166667,36,1.2,0.695265,matched
36,1.2,36,1.2,0.7,matched
37,1.233333,37,1.233333,0.684277,matched
38,1.266667,37,1.233333,0.668554,matched
39,1.3,38,1.266667,0.652831,matched
40,1.333333,38,1.266667,0.637108,matched
41,1.366667,38,1.266667,0.621385,matched
42,1.4,39,1.3,0.605662,matched
43,1.433333,39,1.3,0.589939,matched
44,1.466667,40,1.333333,0.574216,matched
45,1.5,40,1.333333,0.558493,matched
46,1.533333,41,1.366667,0.54277,matched
47,1.566667,41,1.366667,0.527047,matched
48,1.6,42,1.4,0.511324,matched
49,1.633333,42,1.4,0.527047,matched
50,1.666667,43,1.433333,0.54277,matched
51,1.7,43,1.433333,0.558493,matched
52,1.733333,44,1.466667,0.574216,matched
53,1.766667,44,1.466667,0.589939,matched
54,1.8,45,1.5,0.605662,matched
55,1.833333,45,1.5,0.621385,matched
56,1.866667,46,1.533333,0.637108,matched
57,1.9,47,1.566667,0.652831,matched
58,1.933333,47,1.566667,0.668554,matched
59,1.966667,48,1.6,0.684277,matched
60,2.0,48,1.6,0.7,matched
61,2.033333,49,1.633333,0.684343,matched
62,2.066667,49,1.633333,0.668686,matched
63,2.1,49,1.633333,0.65303,matched
64,2.133333,50,1.666667,0.637373,matched
65,2.166667,50,1.666667,0.621716,matched
66,2.2,51,1.7,0.60606,matched
67,2.233333,51,1.7,0.590403,matched
68,2.266667,52,1.733333,0.574746,matched
69,2.3,52,1.733333,0.559089,matched
70,2.333333,53,1.766667,0.543433,matched
71,2.366667,53,1.766667,0.527776,matched
72,2.4,54,1.8,0.512119,matched
73,2.433333,56,1.866667,0.543432,matched
74,2.466667,58,1.933333,0.574746,matched
75,2.5,60,2.0,0.606059,matched
76,2.533333,62,2.066667,0.637373,matched
77,2.566667,64,2.133333,0.668687,matched
78,2.6,66,2.2,0.7,matched
79,2.633333,68,2.266667,0.639923,matched
80,2.666667,70,2.333333,0.579847,matched
81,2.7,72,2.4,0.51977,matched
82,2.733333,74,2.466667,0.459694,matched
83,2.766667,76,2.533333,0.399617,matched
84,2.8,78,2.6,0.339541,review
85,2.833333,80,2.666667,0.399618,matched
86,2.866667,82,2.733333,0.459694,matched
87,2.9,84,2.8,0.519771,matched
88,2.933333,86,2.866667,0.579847,matched
89,2.966667,88,2.933333,0.639924,matched
90,3.0,90,3.0,0.7,matched
91,3.033333,90,3.0,0.673176,matched
92,3.066667,91,3.033333,0.646353,matched
93,3.1,92,3.066667,0.619529,matched
94,3.133333,92,3.066667,0.592705,matched
95,3.166667,92,3.066667,0.565881,matched
96,3.2,93,3.1,0.539058,matched
97,3.233333,94,3.133333,0.512234,matched
98,3.266667,94,3.133333,0.48541,matched
99,3.3,94,3.133333,0.458586,matched
100,3.333333,95,3.166667,0.431763,matched
101,3.366667,96,3.2,0.404939,matched
102,3.4,96,3.2,0.378115,matched
103,3.433333,97,3.233333,0.391076,matched
104,3.466667,97,3.233333,0.404036,matched
105,3.5,98,3.266667,0.416997,matched
106,3.533333,98,3.266667,0.429958,matched
107,3.566667,99,3.3,0.442919,matched
108,3.6,99,3.3,0.45588,matched
109,3.633333,100,3.333333,0.46884,matched
110,3.666667,100,3.333333,0.481801,matched
111,3.7,101,3.366667,0.494762,matched
112,3.733333,101,3.366667,0.507723,matched
113,3.766667,102,3.4,0.520683,matched
114,3.8,102,3.4,0.533644,matched
115,3.833333,104,3.466667,0.559434,matched
116,3.866667,106,3.533333,0.585223,matched
117,3.9,108,3.6,0.611013,matched
118,3.933333,110,3.666667,0.636802,matched
119,3.966667,112,3.733333,0.662592,matched
120,4.0,114,3.8,0.688381,matched
121,4.033333,116,3.866667,0.623677,matched
122,4.066667,118,3.933333,0.558973,matched
123,4.1,120,4.0,0.494269,matched
124,4.133333,122,4.066667,0.429565,matched
125,4.166667,124,4.133333,0.364861,matched
126,4.2,126,4.2,0.300157,review
127,4.233333,126,4.2,0.294454,review
128,4.266667,127,4.233333,0.28875,review
129,4.3,127,4.233333,0.283047,review
130,4.333333,128,4.266667,0.277344,review
131,4.366667,129,4.3,0.27164,review
132,4.4,129,4.3,0.265937,review
133,4.433333,130,4.333333,0.260234,review
134,4.466667,130,4.333333,0.25453,review
135,4.5,131,4.366667,0.248827,review
136,4.533333,131,4.366667,0.243124,review
137,4.566667,132,4.4,0.23742,review
138,4.6,132,4.4,0.231717,review
139,4.633333,133,4.433333,0.251164,review
140,4.666667,133,4.433333,0.27061,review
141,4.7,134,4.466667,0.290057,review
142,4.733333,134,4.466667,0.309504,review
143,4.766667,135,4.5,0.32895,review
144,4.8,135,4.5,0.348397,review
145,4.833333,136,4.533333,0.367844,matched
146,4.866667,136,4.533333,0.38729,matched
147,4.9,136,4.533333,0.406737,matched
148,4.933333,137,4.566667,0.426184,matched
149,4.966667,137,4.566667,0.44563,matched
150,5.0,138,4.6,0.465077,matched
151,5.033333,140,4.666667,0.459529,matched
152,5.066667,142,4.733333,0.45398,matched
153,5.1,144,4.8,0.448432,matched
154,5.133333,146,4.866667,0.442884,matched
155,5.166667,148,4.933333,0.437335,matched
156,5.2,150,5.0,0.431787,matched
157,5.233333,152,5.066667,0.45882,matched
158,5.266667,154,5.133333,0.485853,matched
159,5.3,156,5.2,0.512887,matched
160,5.333333,158,5.266667,0.53992,matched
161,5.366667,160,5.333333,0.566953,matched
162,5.4,162,5.4,0.593986,matched
163,5.433333,164,5.466667,0.611655,matched
164,5.466667,166,5.533333,0.629324,matched
165,5.5,168,5.6,0.646993,matched
166,5.533333,170,5.666667,0.664662,matched
167,5.566667,172,5.733333,0.682331,matched
168,5.6,174,5.8,0.7,matched
169,5.633333,175,5.833333,0.7,matched
170,5.666667,175,5.833333,0.7,matched
171,5.7,176,5.866667,0.7,matched
172,5.733333,176,5.866667,0.7,matched
173,5.766667,177,5.9,0.7,matched
174,5.8,177,5.9,0.7,matched
175,5.833333,178,5.933333,0.7,matched
176,5.866667,178,5.933333,0.7,matched
177,5.9,179,5.966667,0.7,matched
178,5.933333,179,5.966667,0.7,matched
179,5.966667,180,6.0,0.7,matched
180,6.0,180,6.0,0.7,matched
181,6.033333,182,6.066667,0.699685,matched
182,6.066667,184,6.133333,0.699369,matched
