day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.0,review
1,0.033333,2,0.066667,0.0,review
2,0.066667,4,0.133333,0.0,review
3,0.1,6,0.2,0.0,review
4,0.133333,8,0.266667,0.0,review
5,0.166667,10,0.333333,0.0,review
6,0.2,12,0.4,0.0,review
7,0.233333,14,0.466667,0.0,review
8,0.266667,16,0.533333,0.0,review
9,0.3,18,0.6,0.0,review
10,0.333333,20,0.666667,0.0,review
11,0.366667,22,0.733333,0.0,review
12,0.4,24,0.8,0.0,review
13,0.433333,26,0.866667,0.0,review
14,0.466667,28,0.933333,0.0,review
15,0.5,30,1.0,0.0,review
16,0.533333,32,1.066667,0.0,review
17,0.566667,34,1.133333,0.0,review
18,0.6,36,1.2,0.0,review
19,0.633333,38,1.266667,0.0,review
20,0.666667,40,1.333333,0.0,review
21,0.7,42,1.4,0.0,review
22,0.733333,44,1.466667,0.0,review
23,0.766667,46,1.533333,0.0,review
24,0.8,48,1.6,0.0,review
25,0.833333,50,1.666667,0.0,review
26,0.866667,52,1.733333,0.0,review
27,0.9,54,1.8,0.0,review
28,0.933333,56,1.866667,0.0,review
29,0.966667,58,1.933333,0.0,review
30,1.0,60,2.0,0.0,review
31,1.033333,62,2.066667,0.0,review
32,1.066667,64,2.133333,0.0,review
33,1.1,66,2.2,0.0,review
34,1.133333,68,2.266667,0.0,review
35,1.166667,70,2.333333,0.0,review
36,1.2,72,2.4,0.0,review
37,1.233333,74,2.466667,0.0,review
38,1.266667,76,2.533333,0.0,review
39,1.3,78,2.6,0.0,review
40,1.333333,80,2.666667,0.0,review
41,1.366667,82,2.733333,0.0,review
42,1.4,84,2.8,0.0,review
43,1.433333,86,2.866667,0.0,review
44,1.466667,88,2.933333,0.0,review
45,1.5,90,3.0,0.0,review
46,1.533333,92,3.066667,0.0,review
47,1.566667,94,3.133333,0.0,review
48,1.6,96,3.2,0.0,review
49,1.633333,97,3.233333,0.009577,review
50,1.666667,97,3.233333,0.019154,review
51,1.7,98,3.266667,0.028731,review
52,1.733333,98,3.266667,0.038309,review
53,1.766667,99,3.3,0.047886,review
54,1.8,99,3.3,0.057463,review
55,1.833333,100,3.333333,0.06704,review
56,1.866667,100,3.333333,0.076617,review
57,1.9,101,3.366667,0.086195,review
58,1.933333,101,3.366667,0.095772,review
59,1.966667,102,3.4,0.105349,review
60,2.0,102,3.4,0.114926,review
61,2.033333,104,3.466667,0.095772,review
62,2.066667,106,3.533333,0.076617,review
63,2.1,108,3.6,0.057463,review
64,2.133333,110,3.666667,0.038309,review
65,2.166667,112,3.733333,0.019154,review
66,2.2,114,3.8,0.0,review
67,2.233333,116,3.866667,0.010287,review
68,2.266667,118,3.933333,0.020575,review
69,2.3,120,4.0,0.030862,review
70,2.333333,122,4.066667,0.041149,review
71,2.366667,124,4.133333,0.051437,review
72,2.4,126,4.2,0.061724,review
73,2.433333,128,4.266667,0.051437,review
74,2.466667,130,4.333333,0.041149,review
75,2.5,132,4.4,0.030862,review
76,2.533333,134,4.466667,0.020575,review
77,2.566667,136,4.533333,0.010287,review
78,2.6,138,4.6,0.0,review
79,2.633333,140,4.666667,0.017855,review
80,2.666667,142,4.733333,0.03571,review
81,2.7,144,4.8,0.053565,review
82,2.733333,146,4.866667,0.071419,review
83,2.766667,148,4.933333,0.089274,review
84,2.8,150,5.0,0.107129,review
85,2.833333,151,5.033333,0.098202,review
86,2.866667,151,5.033333,0.089274,review
87,2.9,151,5.033333,0.080347,review
88,2.933333,152,5.066667,0.071419,review
89,2.966667,152,5.066667,0.062492,review
90,3.0,153,5.1,0.053565,review
91,3.033333,153,5.1,0.044637,review
92,3.066667,154,5.133333,0.03571,review
93,3.1,154,5.133333,0.026782,review
94,3.133333,155,5.166667,0.017855,review
95,3.166667,155,5.166667,0.008927,review
96,3.2,156,5.2,0.0,review
97,3.233333,158,5.266667,0.0,review
98,3.266667,160,5.333333,0.0,review
99,3.3,162,5.4,0.0,review
100,3.333333,164,5.466667,0.0,review
101,3.366667,166,5.533333,0.0,review
102,3.4,168,5.6,0.0,review
103,3.433333,168,5.6,0.003537,review
104,3.466667,169,5.633333,0.007074,review
105,3.5,169,5.633333,0.010611,review
106,3.533333,170,5.666667,0.014148,review
107,3.566667,171,5.7,0.017685,review
108,3.6,171,5.7,0.021221,review
109,3.633333,172,5.733333,0.024758,review
110,3.666667,172,5.733333,0.028295,review
111,3.7,173,5.766667,0.031832,review
112,3.733333,173,5.766667,0.035369,review
113,3.766667,174,5.8,0.038906,review
