night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.159589,review
1,0.033333,2,0.066667,0.132991,review
2,0.066667,4,0.133333,0.106393,review
3,0.1,6,0.2,0.079794,review
4,0.133333,8,0.266667,0.053196,review
5,0.166667,10,0.333333,0.026598,review
6,0.2,12,0.4,0.0,review
7,0.233333,14,0.466667,0.0,review
8,0.266667,16,0.533333,0.0,review
9,0.3,18,0.6,0.0,review
10,0.333333,20,0.666667,0.0,review
11,0.366667,22,0.733333,0.0,review
12,0.4,24,0.8,0.0,review
13,0.433333,26,0.866667,0.007445,review
14,0.466667,28,0.933333,0.014891,review
15,0.5,30,1.0,0.022336,review
16,0.533333,32,1.066667,0.029782,review
17,0.566667,34,1.133333,0.037227,review
18,0.6,36,1.2,0.044673,review
19,0.633333,37,1.233333,0.043342,review
20,0.666667,37,1.233333,0.042011,review
21,0.7,38,1.266667,0.040681,review
22,0.733333,38,1.266667,0.03935,review
23,0.766667,39,1.3,0.038019,review
24,0.8,39,1.3,0.036688,review
25,0.833333,40,1.333333,0.035357,review
26,0.866667,40,1.333333,0.034026,review
27,0.9,40,1.333333,0.032696,review
28,0.933333,41,1.366667,0.031365,review
29,0.966667,41,1.366667,0.030034,review
30,1.0,42,1.4,0.028703,review
31,1.033333,42,1.4,0.03537,review
32,1.066667,43,1.433333,0.042038,review
33,1.1,43,1.433333,0.048705,review
34,1.133333,44,1.466667,0.055372,review
35,1.166667,45,1.5,0.062039,review
36,1.2,45,1.5,0.068707,review
37,1.233333,46,1.533333,0.075374,review
38,1.266667,46,1.533333,0.082041,review
39,1.3,47,1.566667,0.088708,review
40,1.333333,47,1.566667,0.095376,review
41,1.366667,48,1.6,0.102043,review
42,1.4,48,1.6,0.10871,review
43,1.433333,49,1.633333,0.099651,review
44,1.466667,49,1.633333,0.090592,review
45,1.5,50,1.666667,0.081532,review
46,1.533333,50,1.666667,0.072473,review
47,1.566667,51,1.7,0.063414,review
48,1.6,51,1.7,0.054355,review
49,1.633333,52,1.733333,0.045296,review
50,1.666667,52,1.733333,0.036237,review
51,1.7,52,1.733333,0.027177,review
52,1.733333,53,1.766667,0.018118,review
53,1.766667,53,1.766667,0.009059,review
54,1.8,54,1.8,0.0,review
55,1.833333,54,1.8,0.015433,review
56,1.866667,55,1.833333,0.030865,review
57,1.9,55,1.833333,0.046298,review
58,1.933333,56,1.866667,0.061731,review
59,1.966667,56,1.866667,0.077163,review
60,2.0,57,1.9,0.092596,review
61,2.033333,57,1.9,0.108029,review
62,2.066667,58,1.933333,0.123461,review
63,2.1,58,1.933333,0.138894,review
64,2.133333,59,1.966667,0.154327,review
65,2.166667,59,1.966667,0.169759,review
66,2.2,60,2.0,0.185192,review
67,2.233333,62,2.066667,0.167821,review
68,2.266667,64,2.133333,0.15045,review
69,2.3,66,2.2,0.133079,review
70,2.333333,68,2.266667,0.115707,review
71,2.366667,70,2.333333,0.098336,review
72,2.4,72,2.4,0.080965,review
73,2.433333,74,2.466667,0.090035,review
74,2.466667,76,2.533333,0.099105,review
75,2.5,78,2.6,0.108174,review
76,2.533333,80,2.666667,0.117244,review
77,2.566667,82,2.733333,0.126314,review
78,2.6,84,2.8,0.135384,review
79,2.633333,86,2.866667,0.11282,review
80,2.666667,88,2.933333,0.090256,review
81,2.7,90,3.0,0.067692,review
82,2.733333,92,3.066667,0.045128,review
83,2.766667,94,3.133333,0.022564,review
84,2.8,96,3.2,0.0,review
85,2.833333,98,3.266667,0.0,review
86,2.866667,100,3.333333,0.0,review
87,2.9,102,3.4,0.0,review
88,2.933333,104,3.466667,0.0,review
89,2.966667,106,3.533333,0.0,review
90,3.0,108,3.6,0.0,review
91,3.033333,110,3.666667,0.001912,review
92,3.066667,112,3.733333,0.003824,review
