day_frame,day_time_seconds,night_frame,night_time_seconds,confidence,status
0,0.0,0,0.0,0.7,matched
1,0.033333,2,0.066667,0.67858,matched
2,0.066667,4,0.133333,0.657161,matched
3,0.1,6,0.2,0.635742,matched
4,0.133333,8,0.266667,0.614322,matched
5,0.166667,10,0.333333,0.592903,matched
6,0.2,12,0.4,0.571483,matched
7,0.233333,13,0.433333,0.582193,matched
8,0.266667,13,0.433333,0.592903,matched
9,0.3,14,0.466667,0.603612,matched
10,0.333333,14,0.466667,0.614322,matched
11,0.366667,15,0.5,0.625032,matched
12,0.4,15,0.5,0.635741,matched
13,0.433333,16,0.533333,0.646451,matched
14,0.466667,16,0.533333,0.657161,matched
15,0.5,17,0.566667,0.667871,matched
16,0.533333,17,0.566667,0.67858,matched
17,0.566667,18,0.6,0.68929,matched
18,0.6,18,0.6,0.7,matched
19,0.633333,19,0.633333,0.690428,matched
20,0.666667,19,0.633333,0.680856,matched
21,0.7,20,0.666667,0.671285,matched
22,0.733333,20,0.666667,0.661713,matched
23,0.766667,21,0.7,0.652141,matched
24,0.8,21,0.7,0.642569,matched
25,0.833333,22,0.733333,0.632998,matched
26,0.866667,22,0.733333,0.623426,matched
27,0.9,23,0.766667,0.613854,matched
28,0.933333,23,0.766667,0.604282,matched
29,0.966667,24,0.8,0.594711,matched
30,1.0,24,0.8,0.585139,matched
31,1.033333,25,0.833333,0.567181,matched
32,1.066667,25,0.833333,0.549223,matched
33,1.1,26,0.866667,0.531266,matched
34,1.133333,26,0.866667,0.513308,matched
35,1.166667,27,0.9,0.49535,matched
36,1.2,27,0.9,0.477392,matched
37,1.233333,28,0.933333,0.459435,matched
38,1.266667,28,0.933333,0.441477,matched
39,1.3,29,0.966667,0.423519,matched
40,1.333333,29,0.966667,0.405561,matched
41,1.366667,30,1.0,0.387604,matched
42,1.4,30,1.0,0.369646,matched
43,1.433333,31,1.033333,0.395212,matched
44,1.466667,31,1.033333,0.420778,matched
45,1.5,32,1.066667,0.446343,matched
46,1.533333,32,1.066667,0.471909,matched
47,1.566667,33,1.1,0.497475,matched
48,1.6,33,1.1,0.523041,matched
49,1.633333,34,1.133333,0.548606,matched
50,1.666667,34,1.133333,0.574172,matched
51,1.7,35,1.166667,0.599738,matched
52,1.733333,35,1.166667,0.625304,matched
53,1.766667,36,1.2,0.650869,matched
54,1.8,36,1.2,0.676435,matched
55,1.833333,37,1.233333,0.66129,matched
56,1.866667,37,1.233333,0.646144,matched
57,1.9,38,1.266667,0.630999,matched
58,1.933333,38,1.266667,0.615854,matched
59,1.966667,39,1.3,0.600708,matched
60,2.0,39,1.3,0.585563,matched
61,2.033333,40,1.333333,0.570418,matched
62,2.066667,40,1.333333,0.555272,matched
63,2.1,40,1.333333,0.540127,matched
64,2.133333,41,1.366667,0.524982,matched
65,2.166667,41,1.366667,0.509836,matched
66,2.2,42,1.4,0.494691,matched
67,2.233333,42,1.4,0.491147,matched
68,2.266667,43,1.433333,0.487602,matched
69,2.3,43,1.433333,0.484058,matched
70,2.333333,44,1.466667,0.480513,matched
