night_frame,night_time_seconds,day_frame,day_time_seconds,confidence,status
0,0.0,0,0.0,0.7,matched
1,0.033333,0,0.0,0.68929,matched
2,0.066667,1,0.033333,0.67858,matched
3,0.1,2,0.066667,0.667871,matched
4,0.133333,2,0.066667,0.657161,matched
5,0.166667,2,0.066667,0.646451,matched
6,0.2,3,0.1,0.635742,matched
7,0.233333,4,0.133333,0.625032,matched
8,0.266667,4,0.133333,0.614322,matched
9,0.3,4,0.133333,0.603612,matched
10,0.333333,5,0.166667,0.592903,matched
11,0.366667,6,0.2,0.582193,matched
12,0.4,6,0.2,0.571483,matched
13,0.433333,8,0.266667,0.592903,matched
14,0.466667,10,0.333333,0.614322,matched
15,0.5,12,0.4,0.635741,matched
16,0.533333,14,0.466667,0.657161,matched
17,0.566667,16,0.533333,0.67858,matched
18,0.6,18,0.6,0.7,matched
19,0.633333,20,0.666667,0.680856,matched
20,0.666667,22,0.733333,0.661713,matched
21,0.7,24,0.8,0.642569,matched
22,0.733333,26,0.866667,0.623426,matched
23,0.766667,28,0.933333,0.604282,matched
24,0.8,30,1.0,0.585139,matched
25,0.833333,32,1.066667,0.549223,matched
26,0.866667,34,1.133333,0.513308,matched
27,0.9,36,1.2,0.477393,matched
28,0.933333,38,1.266667,0.441477,matched
29,0.966667,40,1.333333,0.405562,matched
30,1.0,42,1.4,0.369646,matched
31,1.033333,44,1.466667,0.420777,matched
32,1.066667,46,1.533333,0.471909,matched
33,1.1,48,1.6,0.52304,matched
34,1.133333,50,1.666667,0.574172,matched
35,1.166667,52,1.733333,0.625303,matched
36,1.2,54,1.8,0.676435,matched
37,1.233333,56,1.866667,0.646144,matched
38,1.266667,58,1.933333,0.615854,matched
39,1.3,60,2.0,0.585563,matched
40,1.333333,62,2.066667,0.555272,matched
41,1.366667,64,2.133333,0.524982,matched
42,1.4,66,2.2,0.494691,matched
43,1.433333,68,2.266667,0.487602,matched
44,1.466667,70,2.333333,0.480513,matched
45,1.5,72,2.4,0.473424,matched
46,1.533333,74,2.466667,0.466335,matched
47,1.566667,76,2.533333,0.459246,matched
48,1.6,78,2.6,0.452157,matched
49,1.633333,80,2.666667,0.478074,matched
50,1.666667,82,2.733333,0.503991,matched
51,1.7,84,2.8,0.529909,matched
52,1.733333,86,2.866667,0.555826,matched
53,1.766667,88,2.933333,0.581743,matched
54,1.8,90,3.0,0.60766,matched
55,1.833333,92,3.066667,0.610809,matched
56,1.866667,94,3.133333,0.613959,matched
57,1.9,96,3.2,0.617108,matched
58,1.933333,98,3.266667,0.620258,matched
59,1.966667,100,3.333333,0.623407,matched
60,2.0,102,3.4,0.626557,matched
61,2.033333,104,3.466667,0.607645,matched
62,2.066667,106,3.533333,0.588733,matched
63,2.1,108,3.6,0.569822,matched
64,2.133333,110,3.666667,0.55091,matched
65,2.166667,112,3.733333,0.531998,matched
66,2.2,114,3.8,0.513086,matched
67,2.233333,116,3.866667,0.519748,matched
68,2.266667,118,3.933333,0.526411,matched
69,2.3,120,4.0,0.533073,matched
70,2.333333,122,4.066667,0.539735,matched
71,2.366667,124,4.133333,0.546398,matched
72,2.4,126,4.2,0.55306,matched
73,2.433333,128,4.266667,0.57755,matched
74,2.466667,130,4.333333,0.60204,matched
75,2.5,132,4.4,0.62653,matched
76,2.533333,134,4.466667,0.65102,matched
77,2.566667,136,4.533333,0.67551,matched
78,2.6,138,4.6,0.7,matched
79,2.633333,140,4.666667,0.7,matched
80,2.666667,142,4.733333,0.7,matched
81,2.7,144,4.8,0.7,matched
82,2.733333,146,4.866667,0.7,matched
83,2.766667,148,4.933333,0.7,matched
84,2.8,150,5.0,0.7,matched
85,2.833333,152,5.066667,0.7,matched
86,2.866667,154,5.133333,0.7,matched
87,2.9,156,5.2,0.7,matched
88,2.933333,158,5.266667,0.7,matched
89,2.966667,160,5.333333,0.7,matched
90,3.0,162,5.4,0.7,matched
91,3.033333,164,5.466667,0.7,matched
92,3.066667,166,5.533333,0.7,matched
93,3.1,168,5.6,0.7,matched
94,3.133333,170,5.666667,0.7,matched
95,3.166667,172,5.733333,0.7,matched
96,3.2,174,5.8,0.7,matched
97,3.233333,176,5.866667,0.7,matched
98,3.266667,178,5.933333,0.7,matched
99,3.3,180,6.0,0.7,matched
100,3.333333,182,6.066667,0.7,matched
101,3.366667,184,6.133333,0.7,matched
102,3.4,186,6.2,0.7,matched
103,3.433333,186,6.2,0.7,matched
104,3.466667,187,6.233333,0.7,matched
105,3.5,187,6.233333,0.7,matched
106,3.533333,188,6.266667,0.7,matched
107,3.566667,188,6.266667,0.7,matched
108,3.6,189,6.3,0.7,matched
109,3.633333,189,6.3,0.7,matched
110,3.666667,190,6.333333,0.7,matched
111,3.7,191,6.366667,0.7,matched
112,3.733333,191,6.366667,0.7,matched
113,3.766667,192,6.4,0.7,matched
114,3.8,192,6.4,0.7,matched
115,3.833333,193,6.433333,0.7,matched
116,3.866667,193,6.433333,0.7,matched
117,3.9,194,6.466667,0.7,matched
118,3.933333,194,6.466667,0.7,matched
119,3.966667,195,6.5,0.7,matched
120,4.0,195,6.5,0.7,matched
121,4.033333,196,6.533333,0.7,matched
122,4.066667,196,6.533333,0.7,matched
123,4.1,197,6.566667,0.7,matched
124,4.133333,197,6.566667,0.7,matched
125,4.166667,198,6.6,0.7,matched
126,4.2,198,6.6,0.7,matched
127,4.233333,200,6.666667,0.7,matched
128,4.266667,202,6.733333,0.7,matched
129,4.3,204,6.8,0.7,matched
130,4.333333,206,6.866667,0.7,matched
131,4.366667,208,6.933333,0.7,matched
132,4.4,210,7.0,0.7,matched
133,4.433333,212,7.066667,0.7,matched
134,4.466667,214,7.133333,0.7,matched
135,4.5,216,7.2,0.7,matched
136,4.533333,218,7.266667,0.7,matched
137,4.566667,220,7.333333,0.7,matched
138,4.6,222,7.4,0.7,matched
139,4.633333,223,7.433333,0.683181,matched
140,4.666667,223,7.433333,0.666362,matched
141,4.7,224,7.466667,0.649543,matched
142,4.733333,224,7.466667,0.632725,matched
143,4.766667,225,7.5,0.615906,matched
144,4.8,225,7.5,0.599087,matched
145,4.833333,226,7.533333,0.582268,matched
146,4.866667,226,7.533333,0.565449,matched
147,4.9,226,7.533333,0.54863,matched
148,4.933333,227,7.566667,0.531812,matched
149,4.966667,227,7.566667,0.514993,matched
150,5.0,228,7.6,0.498174,matched
151,5.033333,228,7.6,0.497406,matched
152,5.066667,229,7.633333,0.496639,matched
153,5.1,229,7.633333,0.495871,matched
154,5.133333,230,7.666667,0.495103,matched
155,5.166667,231,7.7,0.494336,matched
156,5.2,231,7.7,0.493568,matched
157,5.233333,232,7.733333,0.4928,matched
158,5.266667,232,7.733333,0.492033,matched
159,5.3,233,7.766667,0.491265,matched
160,5.333333,233,7.766667,0.490497,matched
161,5.366667,234,7.8,0.48973,matched
162,5.4,234,7.8,0.488962,matched
163,5.433333,235,7.833333,0.476466,matched
164,5.466667,235,7.833333,0.46397,matched
165,5.5,236,7.866667,0.451474,matched
166,5.533333,236,7.866667,0.438978,matched
167,5.566667,237,7.9,0.426482,matched
168,5.6,237,7.9,0.413986,matched
169,5.633333,238,7.933333,0.40149,matched
170,5.666667,238,7.933333,0.388994,matched
171,5.7,238,7.933333,0.376498,matched
172,5.733333,239,7.966667,0.364002,matched
173,5.766667,239,7.966667,0.351506,matched
174,5.8,240,8.0,0.33901,review
175,5.833333,240,8.0,0.347519,review
176,5.866667,241,8.033333,0.356028,matched
177,5.9,241,8.033333,0.364538,matched
178,5.933333,242,8.066667,0.373047,matched
179,5.966667,242,8.066667,0.381556,matched
180,6.0,243,8.1,0.390066,matched
181,6.033333,243,8.1,0.398575,matched
182,6.066667,244,8.133333,0.407084,matched
183,6.1,244,8.133333,0.415593,matched
184,6.133333,245,8.166667,0.424103,matched
185,6.166667,245,8.166667,0.432612,matched
186,6.2,246,8.2,0.441121,matched
187,6.233333,248,8.266667,0.413458,matched
188,6.266667,250,8.333333,0.385795,matched
189,6.3,252,8.4,0.358132,matched
190,6.333333,254,8.466667,0.33047,review
191,6.366667,256,8.533333,0.302807,review
192,6.4,258,8.6,0.275144,review
193,6.433333,259,8.633333,0.29746,review
194,6.466667,259,8.633333,0.319776,review
195,6.5,260,8.666667,0.342092,review
196,6.533333,260,8.666667,0.364408,matched
197,6.566667,261,8.7,0.386724,matched
198,6.6,261,8.7,0.40904,matched
199,6.633333,262,8.733333,0.431356,matched
200,6.666667,262,8.733333,0.453672,matched
201,6.7,263,8.766667,0.475988,matched
202,6.733333,263,8.766667,0.498304,matched
203,6.766667,264,8.8,0.52062,matched
204,6.8,264,8.8,0.542936,matched
