input,size,model_family,model,answer_rate,bleu_4,rouge_l_f1,meteor,judge_strict_accuracy,judge_soft_accuracy
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,1.0,0.470432665121901,0.28677335404137616,0.143525784260125,0.46105919003115264,0.48130841121495327
frame 8,4B,Molmo2,Molmo2-4B,1.0,0.44218410718173473,0.2534207473132748,0.13820680000760527,0.4516010978956999,0.4693504117108875
frame 8,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,1.0,0.47299333806365335,0.30350518544944605,0.157868451673473,0.5562671546203111,0.5781335773101556
frame 8,8B,InternVL3.5,InternVL3_5-8B-Instruct,1.0,0.47105915255402625,0.2725695866409467,0.13941050817868839,0.49423604757548034,0.5202195791399817
frame 8,8B,Molmo2,Molmo2-8B,1.0,0.4587251615316415,0.26508231453267744,0.1429612147321475,0.4878316559926807,0.5057639524245197
frame 8,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,1.0,0.47591073940040113,0.31129870730659576,0.1609960009356598,0.5749313815187557,0.5947849954254346
video,4B,InternVL3.5,InternVL3_5-4B-Instruct,1.0,0.4685046027452789,0.30893673360196205,0.15348446925523065,0.4898444647758463,0.5114364135407137
video,4B,Molmo2,Molmo2-4B,1.0,0.4674402363647992,0.2684596917657274,0.1410622362258817,0.49661482159194875,0.5140896614821592
video,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,1.0,0.4708404120519757,0.2921238098031789,0.15032107070067696,0.5359560841720037,0.5548032936870997
video,8B,InternVL3.5,InternVL3_5-8B-Instruct,1.0,0.46230113293779174,0.2636759074778744,0.1323334287783816,0.48965390954037724,0.5123603735579564
video,8B,Molmo2,Molmo2-8B,1.0,0.4504533655326688,0.25335116828680654,0.1313370539608955,0.47273060029282576,0.4916727672035139
video,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,1.0,0.46495838832822506,0.29750116581923736,0.15085107616718071,0.5419945105215005,0.5653247941445563
